key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-356730512,Predicting into unknown space? Estimating the area of applicability of spatial prediction models,2021,9,,METHODS IN ECOLOGY AND EVOLUTION,"[""2041-210X"", ""2041-2096     J9  - METHODS ECOL EVOL     JI  - Methods Ecol. Evol.""]",12,9,1620-1633,"Meyer, H and Pebesma, E",,English,,"[""Westfalische Wilhelms Univ Munster, Inst Landscape Ecol, Munster, Germany"", ""Westfalische Wilhelms Univ Munster, Inst Geoinformat, Munster, Germany     FU  - Projekt DEAL     FX  - Open Access funding enabled and organized by Projekt DEAL.     PU  - WILEY     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA""]","Machine learning algorithms have become very popular for spatial mapping of the environment due to their ability to fit nonlinear and complex relationships. However, this ability comes with the disadvantage that they can only be applied to new data if these are similar to the training data. Since spatial mapping requires predictions to new geographic space which in many cases goes along with new predictor properties, a method to assess the area to which a prediction model can be reliably applied is required. Here, we suggest a methodology that delineates the 'area of applicability' (AOA) that we define as the area where we enabled the model to learn about relationships based on the training data, and where the estimated cross-validation performance holds. We first propose a 'dissimilarity index' (DI) that is based on the minimum distance to the training data in the multidimensional predictor space, with predictors being weighted by their respective importance in the model. The AOA is then derived by applying a threshold which is the (outlier-removed) maximum DI of the training data derived via cross-validation. We further use the relationship between the DI and the cross-validation performance to map the estimated performance of predictions. We illustrate the approach in a simulated case study chosen to mimic ecological realities and test the credibility by using a large set of simulated data. The simulation studies showed that the prediction error within the AOA is comparable to the cross-validation error of the trained model, while the cross-validation error does not apply outside the AOA. This applies to models being trained with randomly distributed training data, as well as when training data are clustered in space and where spatial cross-validation is applied. Using the relationship between DI and cross-validation performance showed potential to limit predictions to the area where a user-defined performance applies. We suggest to add the AOA computation to the modeller's standard toolkit and to present predictions for the AOA only. We further suggest to report a map of DI-dependent performance estimates alongside prediction maps and complementary to (cross-)validation performance measures and the common uncertainty estimates.",Times Cited in Web of Science Core Collection:  31     Total Times Cited:  31     Cited Reference Count:  47,10.1111/2041-210X.13650,machine learning;model transferability;predictive modelling;Random Forest;remote sensing;spatial mapping;uncertainty;CROSS-VALIDATION;PERFORMANCE;UNCERTAINTY;STRATEGIES;ACCURACY;FOREST;DOMAIN;RANGE;BIAS,,
rayyan-356730513,Improved confidence intervals for the linkage disequilibrium method for estimating effective population size,2016,10,,HEREDITY,"[""0018-067X"", ""1365-2540     J9  - HEREDITY     JI  - Heredity""]",117,4,217-223,"Jones, AT and Ovenden, JR and Wang, YG",,English,,"[""Univ Queensland, Ctr Applicat Nat Resource Math, Sch Math & Phys, St Lucia, Qld, Australia"", ""Univ Queensland, Sch Biomed Sci, Mol Fisheries Lab, St Lucia, Qld, Australia"", ""Queensland Univ Technol, Fac Engn Sci, Sch Math Sci, Brisbane, Qld 4000, Australia     PU  - NATURE PUBLISHING GROUP     PI  - LONDON     PA  - MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND""]","The linkage disequilibrium method is currently the most widely used single sample estimator of genetic effective population size. The commonly used software packages come with two options, referred to as the parametric and jackknife methods, for computing the associated confidence intervals. However, little is known on the coverage performance of these methods, and the published data suggest there may be some room for improvement. Here, we propose two new methods for generating confidence intervals and compare them with the two in current use through a simulation study. The new confidence interval methods tend to be conservative but outperform the existing methods for generating confidence intervals under certain circumstances, such as those that may be encountered when making estimates using large numbers of single-nucleotide polymorphisms.",Times Cited in Web of Science Core Collection:  54     Total Times Cited:  54     Cited Reference Count:  25,10.1038/hdy.2016.19     WE  - Science Citation Index Expanded (SCI-EXPANDED),N-E;JACKKNIFE;Linkage Disequilibrium;Population Density,,
rayyan-356730514,Confidence intervals for ratios of proportions: implications for selection ratios,2015,2,,METHODS IN ECOLOGY AND EVOLUTION,"[""2041-210X"", ""2041-2096     J9  - METHODS ECOL EVOL     JI  - Methods Ecol. Evol.""]",6,2,121-132,"Aho, K and Bowyer, RT",,English,,"Idaho State Univ, Dept Biol Sci, Pocatello, ID 83209 USA     FU  - Department of Biological Sciences at Idaho State University     FX  - This research was supported in part by the Department of Biological Sciences at Idaho State University. We thank R. Garrott and S. Cherry (Montana State University), D. Derryberry (Idaho State University) and D.L. Thomas (University of Alaska Fairbanks) for helpful comments on the manuscript. Profound thanks to Clement Calenge who served (initially) as an anonymous MEE reviewer.     PU  - WILEY     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA","The selection ratio (proportional resource use divided by proportional availability) is often used by ecologists to measure the degree to which individuals and populations are selective in their food sources and habitats. Yet, confidence interval approaches for this metric are scarce and poorly evaluated. In this paper, we compare 13 methods that can be used to construct simultaneous confidence intervals for selection ratios. Seven of the methods are applicable when availabilities are unknown. These are bootstrapping and six methods adapted from relative risk (Katz-log, adjusted-log, Bailey, inverse hyperbolic sine, Koopman and Noether). The other six approaches are applicable when availabilities are known. These are bootstrapping, two existing methods for relative risk (Wald-adjusted, Noether-fixed) and three straightforward new methods (fixed-log, Agresti-Coull-adjusted and Bayes-beta). None of the 13 approaches have been previously evaluated in the context of selection ratios. In simulations with unknown availabilities, the Koopman method performed best, and the currently recommended Noether method performed worst. In simulations with fixed availabilities, the new Agresti-Coull-adjusted, fixed-log, Bayes-beta methods all outperformed the currently recommended Wald-adjusted method. In the context of real ecological data sets, the Noether and Wald-adjusted methods produced anomalous results that putatively would alter management decisions. We note that our findings, including those for new methods, are directly conferrable to relative risk, allowing extension of our work to the many branches of biology that rely on this measure. The poor performance of the Noether and Wald-adjusted methods is troubling because these are currently the most widely used procedures for calculating confidence intervals for type I resource-selection designs. Based on our findings, we recommend that the Noether method be replaced with the Koopman method, and the Wald-adjusted method be replaced with the Agresti-Coull-adjusted method.",Times Cited in Web of Science Core Collection:  9     Total Times Cited:  11     Cited Reference Count:  70,10.1111/2041-210X.12304     WE  - Science Citation Index Expanded (SCI-EXPANDED),selection ratio;ratio of multinomial proportions;relative risk;resource selection;confidence interval;Bayesian;Credible interval;HABITAT USE;ALASKAN MOOSE;HOME-RANGE;LIMITS;TESTS;SCALE;APPROXIMATE;PARAMETERS;ABUNDANCE;RESPONSES;Confidence Intervals,,
rayyan-356730515,Software to simulate and estimate genetic effective population size (N-e) from linkage disequilibrium observed in single samples,2018,5,,MOLECULAR ECOLOGY RESOURCES,"[""1755-098X"", ""1755-0998     J9  - MOL ECOL RESOUR     JI  - Mol. Ecol. Resour.""]",18,3,714-728,"Hamilton, MB and Tartakovsky, M and Battocletti, A",,English,,"[""Georgetown Univ, Dept Biol, Regents Hall, Washington, DC 20057 USA"", ""Univ Florida, Gainesville, FL USA     FU  - Division of Biological Infrastructure [1559887]; Div Of Biological Infrastructure [1559887] Funding Source: National Science Foundation     FX  - Division of Biological Infrastructure, Grant/Award Number: 1559887     PU  - WILEY     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA""]","The genetic effective population size, N-e, can be estimated from the average gametic disequilibrium (r(2)) over cap between pairs of loci, but such estimates require evaluation of assumptions and currently have few methods to estimate confidence intervals. SPEED-NE is a suite of MATLAB computer code functions to estimate (N-e) over cap from (r(2)) over cap with a graphical user interface and a rich set of outputs that aid in understanding data patterns and comparing multiple estimators. SPEED-NE includes functions to either generate or input simulated genotype data to facilitate comparative studies of (N-e) over cap estimators under various population genetic scenarios. SPEED-NE was validated with data simulated under both time-forward and time-backward coalescent models of genetic drift. Three classes of estimators were compared with simulated data to examine several general questions: what are the impacts of microsatellite null alleles on (N-e) over cap, how should missing data be treated, and does disequilibrium contributed by reduced recombination among some loci in a sample impact (N-e) over cap. Estimators differed greatly in precision in the scenarios examined, and a widely employed (N-e) over cap estimator exhibited the largest variances among replicate data sets. SPEED-NE implements several jackknife approaches to estimate confidence intervals, and simulated data showed that jackknifing over loci and jackknifing over individuals provided similar to 95% confidence interval coverage for some estimators and should be useful for empirical studies. SPEED-NE provides an open-source extensible tool for estimation of (N-e) over cap from empirical genotype data and to conduct simulations of both microsatellite and single nucleotide polymorphism (SNP) data types to develop expectations and to compare (N-e) over cap estimators.",Times Cited in Web of Science Core Collection:  3     Total Times Cited:  3     Cited Reference Count:  40,10.1111/1755-0998.12759     WE  - Science Citation Index Expanded (SCI-EXPANDED),confidence interval;effective population size;jackknife;linkage disequilibrium;null alleles;simulation;LOCI;MODEL;POLYMORPHISMS;SELECTION;EVOLUTION;Linkage Disequilibrium;Software;Population Density,,
rayyan-356730516,Evaluation of estimation quality of a general paradigm for indexing animal abundance when observations are counts,2016,3,,ECOLOGICAL INFORMATICS,"[""1574-9541"", ""1878-0512     J9  - ECOL INFORM     JI  - Ecol. Inform.""]",32,,194-201,"Shulman, B and Wagner, BD and Grunwald, GK and Engeman, RM",,English,,"[""Univ Colorado Denver, Dept Biostat & Informat, Anschut Med Campus,Box B-119,13001 E 17th Pl, Aurora, CO 80045 USA"", ""Natl Wildlife Res Ctr, 4101 LaPorte Ave, Ft Collins, CO 80521 USA"", ""EDUCAUSE, 282 Century Pl,Suite 5000, Louisville, CO 80027 USA     PU  - ELSEVIER     PI  - AMSTERDAM     PA  - RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS""]","Relative abundance indices are widely applied to monitor wildlife populations. A general indexing paradigm was developed for structuring data collection and validly conducting analyses. This approach is applicable for many observation metrics, with observations made at stations through the area of interest and repeated over several days. The variance formula for the general index was derived using a linear mixed model, with statistical tests and confidence intervals constructed assuming Gaussian-distributed observations. However, many observation methods, like intrusions to track plots or camera traps, involve counts with many zeroes, producing Poisson like observations. To fill this inferential gap between Gaussian analytical assumptions and Poisson-distributed data we evaluated, via a broad Monte Carlo simulation study, variance estimation and confidence interval coverage when Gaussian statistical inference is applied to data generated from a Poisson distribution. The mixed effects linear model assuming Gaussian observations performed well in estimating variances and confidence intervals when simulated Poisson data were in the range found in field studies (88-96% confidence interval coverage). Estimation improved by increasing the number of observation days. Confidence interval coverage rates performed very well (even with few observation days) when day-to-day variability was small, while effective estimation resulted fora great range in station-to-station variability. These results provide a foundational basis for applying the general indexing paradigm to count data, strengthen the generality of the approach, provide valuable information for study design, and should reassure practitioners about the validity of their analytical inferences when using count data. Published by Elsevier B.V.",Times Cited in Web of Science Core Collection:  3     Total Times Cited:  3     Cited Reference Count:  51,10.1016/j.ecoinf.2016.02.004     WE  - Science Citation Index Expanded (SCI-EXPANDED),Animal surveys;Negative binomial distribution;Poisson distribution;Population index;Relative abundance;BASICS RIGHT;FERAL PIGS;POPULATIONS;PREDATORS;RESPONSES;NEED;SIZE;Animals;Animal Shells,,
rayyan-356730517,Confidence intervals for a product of proportions: application to importance values,2015,11,,ECOSPHERE,2150-8925     J9  - ECOSPHERE     JI  - Ecosphere,6,11,,"Aho, KA and Bowyer, RT",,English,,"Idaho State Univ, Dept Biol Sci, Pocatello, ID 83209 USA     FU  - Department of Biological Sciences at Idaho State University     FX  - We are indebted to Drs. DeWayne Derryberry and Ann Gironella for useful comments on our manuscript. Funding was provided by the Department of Biological Sciences at Idaho State University.     PU  - WILEY     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA","Importance values (proportional use 3 proportional availability of a resource) add a useful component to studies of resource selection. The merit of the metric is that it identifies commonly available resources that are nonetheless critical components in the ecology of an organism. Such resources would not be identified as being selected in comparisons of use relative to availability (e.g., use/availability). Importance values have received limited use in the ecological literature because they have been descriptive in nature and lack a framework for hypothesis testing. In this paper we present a simple asymptotic one- and two-tailed method for calculating confidence intervals for the product of proportions. The approach is easily extended to importance values. Results from simulations indicate that our method is effective across a wide range of sample sizes, but performs poorly when designs are unbalanced. As a result, we recommend rarifying availability data in matched-case designs for determining resource selection, before calculating confidence intervals for importance values. Applications of our method extend beyond the calculation of confidence intervals for importance values. Indeed, the approach is applicable for any situation in which confidence intervals are needed for the product of proportions, including product of more than two proportions.",Times Cited in Web of Science Core Collection:  1     Total Times Cited:  1     Cited Reference Count:  20,10.1890/ES15-00420.1     WE  - Science Citation Index Expanded (SCI-EXPANDED),confidence interval;importance value;product of proportions;relative risk;resource selection;selection ratio;NORTH-AMERICAN ELK;MULE DEER;RESOURCE SELECTION;DISTRIBUTIONS;CATTLE;Confidence Intervals,,
rayyan-356730518,Comparing traditional and Bayesian approaches to ecological meta-analysis,2020,10,,METHODS IN ECOLOGY AND EVOLUTION,"[""2041-210X"", ""2041-2096     J9  - METHODS ECOL EVOL     JI  - Methods Ecol. Evol.""]",11,10,1286-1295,"Pappalardo, P and Ogle, K and Hamman, EA and Bence, JR and Hungate, BA and Osenberg, CW",,English,,"[""Univ Georgia, Odum Sch Ecol, Athens, GA 30602 USA"", ""No Arizona Univ, Sch Informat Comp & Cyber Syst, Flagstaff, AZ 86011 USA"", ""No Arizona Univ, Ctr Ecosyst Sci & Soc, Flagstaff, AZ 86011 USA"", ""No Arizona Univ, Dept Biol Sci, Flagstaff, AZ 86011 USA"", ""Michigan State Univ, Quantitat Fisheries Ctr, Dept Fisheries & Wildlife, E Lansing, MI 48824 USA     FU  - Biological and Environmental Research [DE-SC-0010632]; National Science Foundation [DEB-1655426, DEB-1655394]     FX  - Biological and Environmental Research, Grant/Award Number: DE-SC-0010632; National Science Foundation, Grant/Award Number: DEB-1655426 and DEB-1655394     PU  - WILEY     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA""]","Despite the wide application of meta-analysis in ecology, some of the traditional methods used for meta-analysis may not perform well given the type of data characteristic of ecological meta-analyses. We reviewed published meta-analyses on the ecological impacts of global climate change, evaluating the number of replicates used in the primary studies (n(i)) and the number of studies or records (k) that were aggregated to calculate a mean effect size. We used the results of the review in a simulation experiment to assess the performance of conventional frequentist and Bayesian meta-analysis methods for estimating a mean effect size and its uncertainty interval. Our literature review showed thatn(i)andkwere highly variable, distributions were right-skewed and were generally small (mediann(i) = 5, mediank = 44). Our simulations show that the choice of method for calculating uncertainty intervals was critical for obtaining appropriate coverage (close to the nominal value of 0.95). Whenkwas low (<40), 95% coverage was achieved by a confidence interval (CI) based on thetdistribution that uses an adjusted standard error (the Hartung-Knapp-Sidik-Jonkman, HKSJ), or by a Bayesian credible interval, whereas bootstrap orzdistribution CIs had lower coverage. Despite the importance of the method to calculate the uncertainty interval, 39% of the meta-analyses reviewed did not report the method used, and of the 61% that did, 94% used a potentially problematic method, which may be a consequence of software defaults. In general, for a simple random-effects meta-analysis, the performance of the best frequentist and Bayesian methods was similar for the same combinations of factors (kand mean replication), though the Bayesian approach had higher than nominal (>95%) coverage for the mean effect whenkwas very low (k < 15). Our literature review suggests that many meta-analyses that usedzdistribution or bootstrapping CIs may have overestimated the statistical significance of their results when the number of studies was low; more appropriate methods need to be adopted in ecological meta-analyses.",Times Cited in Web of Science Core Collection:  10     Total Times Cited:  10     Cited Reference Count:  41,10.1111/2041-210X.13445,bias;confidence interval;coverage;credible interval;effect size;global climate change;log response ratio;sample size;CONFIDENCE-INTERVALS;HETEROGENEITY;VARIANCE;MODELS;TESTS,,
rayyan-356730519,Single-fit bootstrapping: A simple alternative to the delta method,2022,6,,METHODS IN ECOLOGY AND EVOLUTION,"[""2041-210X"", ""2041-2096     J9  - METHODS ECOL EVOL     JI  - Methods Ecol. Evol.""]",13,6,1358-1367,"Fletcher, D and Jowett, T",,English,,"[""David Fletcher Consulting Ltd, Karitane, New Zealand"", ""Univ Otago, Dept Math & Stat, Dunedin, New Zealand     PU  - WILEY     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA""]","In many environmental and ecological settings, the analysis of data involves calculation of a confidence interval for a nonlinear function of the model parameters. In the frequentist approach, this is often achieved by using a Wald interval in which the standard error of the estimate of the function is obtained using the delta method. The purpose of this paper is to promote a simple alternative to the delta method that will provide better coverage properties when the estimates of the model parameters have a distribution that is approximately multivariate normal, as will be the case asymptotically for maximum likelihood estimates in regular models. We propose a simple diagnostic tool that can be used to assess the reliability of this assumption. The method we promote can be thought of as a computationally efficient version of parametric bootstrapping, as it mimics such bootstrapping without a need to refit the model. We provide two examples to illustrate use of the new method and present simulation results which show that its coverage properties are superior to those for a Wald interval based on the delta method when the assumption of normality for the estimates of the model parameters is reliable. We also compare its coverage properties and computational effort with those of parametric bootstrapping.",Times Cited in Web of Science Core Collection:  0     Total Times Cited:  0     Cited Reference Count:  27,10.1111/2041-210X.13848,bootstrap;confidence interval;delta method;nonlinear function;simulation;zero-inflated model;CONFIDENCE-INTERVALS;ABUNDANCE,,
rayyan-356730520,Scale-insensitive estimation of speed and distance traveled from animal tracking data,2019,11,15,MOVEMENT ECOLOGY,2051-3933     J9  - MOV ECOL     JI  - Mov. Ecol.,7,1,,"Noonan, MJ and Fleming, CH and Akre, TS and Drescher-Lehman, J and Gurarie, E and Harrison, AL and Kays, R and Calabrese, JM",,English,,"[""Natl Zool Pk, Smithsonian Conservat Biol Inst, 1500 Remount Rd, Front Royal, VA 22630 USA"", ""Univ Maryland, Dept Biol, College Pk, MD 20742 USA"", ""George Mason Univ, Dept Biol, 4400 Univ Dr, Fairfax, VA 22030 USA"", ""Natl Zool Pk, Smithsonian Conservat Biol Inst, Migratory Bird Ctr, Washington, DC 20008 USA"", ""North Carolina Museum Nat Sci, Biodivers Lab, Raleigh, NC 27601 USA"", ""North Carolina State Univ, Dept Forestry & Environm Resources, 4400 Univ Dr, Raleigh, NC 27695 USA     FU  - US NSF Advances in Biological Informatics program [ABI-1458748]; Smithsonian Institution CGPS grant; Friends of the National Zoo Conservation Research Grant; ConocoPhillips Global Signature Program     FX  - This work was supported by the US NSF Advances in Biological Informatics program (ABI-1458748 to JMC). MJN was supported by a Smithsonian Institution CGPS grant. Funding for brown pelican tracking was provided by the Friends of the National Zoo Conservation Research Grant and ConocoPhillips Global Signature Program.     PU  - BMC     PI  - LONDON     PA  - CAMPUS, 4 CRINAN ST, LONDON N1 9XW, ENGLAND""]","Background Speed and distance traveled provide quantifiable links between behavior and energetics, and are among the metrics most routinely estimated from animal tracking data. Researchers typically sum over the straight-line displacements (SLDs) between sampled locations to quantify distance traveled, while speed is estimated by dividing these displacements by time. Problematically, this approach is highly sensitive to the measurement scale, with biases subject to the sampling frequency, the tortuosity of the animal's movement, and the amount of measurement error. Compounding the issue of scale-sensitivity, SLD estimates do not come equipped with confidence intervals to quantify their uncertainty. Methods To overcome the limitations of SLD estimation, we outline a continuous-time speed and distance (CTSD) estimation method. An inherent property of working in continuous-time is the ability to separate the underlying continuous-time movement process from the discrete-time sampling process, making these models less sensitive to the sampling schedule when estimating parameters. The first step of CTSD is to estimate the device's error parameters to calibrate the measurement error. Once the errors have been calibrated, model selection techniques are employed to identify the best fit continuous-time movement model for the data. A simulation-based approach is then employed to sample from the distribution of trajectories conditional on the data, from which the mean speed estimate and its confidence intervals can be extracted. Results Using simulated data, we demonstrate how CTSD provides accurate, scale-insensitive estimates with reliable confidence intervals. When applied to empirical GPS data, we found that SLD estimates varied substantially with sampling frequency, whereas CTSD provided relatively consistent estimates, with often dramatic improvements over SLD. Conclusions The methods described in this study allow for the computationally efficient, scale-insensitive estimation of speed and distance traveled, without biases due to the sampling frequency, the tortuosity of the animal's movement, or the amount of measurement error. In addition to being robust to the sampling schedule, the point estimates come equipped with confidence intervals, permitting formal statistical inference. All the methods developed in this study are now freely available in the ctmmR package or the ctmmweb point-and-click web based graphical user interface.",Times Cited in Web of Science Core Collection:  27     Total Times Cited:  27     Cited Reference Count:  65,10.1186/s40462-019-0177-1     WE  - Science Citation Index Expanded (SCI-EXPANDED),Continuous-time;correlated velocity;ctmm;GPS;movement models;step length;telemetry;travel distance;HOME-RANGE;MOVEMENT;TIME;TELEMETRY;MODELS;FRAMEWORK;INFERENCE;ECOLOGY;MOTION;Animal Shells;Animals;Travel,,
rayyan-356730521,Estimating population size by spatially explicit capture-recapture,2013,6,,OIKOS,"[""0030-1299"", ""1600-0706     J9  - OIKOS     JI  - Oikos""]",122,6,918-928,"Efford, MG and Fewster, RM",,English,,"Univ Auckland, Dept Stat, Auckland 1, New Zealand     PU  - WILEY     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA","The number of animals in a population is conventionally estimated by capturerecapture without modelling the spatial relationships between animals and detectors. Problems arise with non-spatial estimators when individuals differ in their exposure to traps or the target population is poorly defined. Spatially explicit capturerecapture (SECR) methods devised recently to estimate population density largely avoid these problems. Some applications require estimates of population size rather than density, and population size in a defined area may be obtained as a derived parameter from SECR models. While this use of SECR has potential benefits over conventional capturerecapture, including reduced bias, it is unfamiliar to field biologists and no study has examined the precision and robustness of the estimates. We used simulation to compare the performance of SECR and conventional estimators of population size with respect to bias and confidence interval coverage for several spatial scenarios. Three possible estimators for the sampling variance of realised population size all performed well. The precision of SECR estimates was nearly the same as that of the null-model conventional population estimator. SECR estimates of population size were nearly unbiased (relative bias 010%) in all scenarios, including surveys in randomly generated patchy landscapes. Confidence interval coverage was near the nominal level. We used SECR to estimate the population of a species of skink Oligosoma infrapunctatum from pitfall trapping. The estimated number in the area bounded by the outermost traps differed little between a homogeneous density model and models with a quadratic trend in density or a habitat effect on density, despite evidence that the latter models fitted better. Extrapolation of trend models to a larger plot may be misleading. To avoid extrapolation, a large region of interest should be sampled throughout, either with one continuous trapping grid or with clusters of traps dispersed widely according to a probability-based and spatially representative sampling design.",Times Cited in Web of Science Core Collection:  169     Total Times Cited:  172     Cited Reference Count:  30,10.1111/j.1600-0706.2012.20440.x     WE  - Science Citation Index Expanded (SCI-EXPANDED),CLOSED POPULATION;DENSITY-ESTIMATION;MIXTURE-MODELS;INFERENCE;VARY;MARK;Population Density,,
