key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-894980361,Preclinical antitoxic properties of Spirulina (Arthrospira).,2016,1,1,Pharmaceutical biology,1744-5116 (Electronic),54,8,1345-53,,https://pubmed.ncbi.nlm.nih.gov/26439611/,eng,,,"CONTEXT: Spirulina (Arthrospira) exerts a wide spectrum of pharmacological activities which are mainly attributed to its antioxidant effect. However, Spirulina has also been reported (both in preclinical and in clinical scenarios) to exhibit other bioactive effects, including an antitoxic potential. OBJECTIVE: We performed a systematic review of the literature, conducted in TOXNET, PubMed/MEDLINE, and Science Direct-Scopus; all available years were included. Searching criteria included the effects of Spirulina on experimental poisonings from arsenic, cadmium, carbon tetrachloride, deltamethrin, fluoride, hexachlorocyclohexane, iron, lead, lindane, and mercury. RESULTS: In all cases, it was established that the blue-green alga, and its isolated compounds, effectively counteracted these pollutants toxic effects on the exposed organisms. Some molecular mechanisms are proposed, although they have not been fully elucidated yet. CONCLUSION: Spirulina could be a useful coadjuvant agent within clinical practice for treatment of these or other pollutants poisonings.","RAYYAN-INCLUSION: {""z5393783""=>""Maybe"", ""Coralie""=>""Maybe""} | RAYYAN-INCLUSION: {""z5393783""=>""Excluded"", ""Coralie""=>""Excluded""} | RAYYAN-LABELS: full text not available",,Humans;Animals;Spirulina;Environmental Exposure/adverse effects;Occupational Exposure/adverse effects;Antidotes/isolation & purification/*pharmacology;Antioxidants/isolation & purification/*pharmacology;Environmental Pollutants/*poisoning;Poisoning/*drug therapy/metabolism;Spirulina/*metabolism,,
rayyan-894980362,Association between exposure to polychlorinated biphenyls and risk of hypertension: A systematic review and meta-analysis.,2020,1,1,Chemosphere,1879-1298 0045-6535,255,,126984,,,eng,,,"Experimental and epidemiological studies have suggested an association between exposure to polychlorinated biphenyls (PCBs), ubiquitous environmental toxic compounds, and the risk of hypertension. We conducted a systematic review and meta-analysis of epidemiological studies of the association between PCB exposure and the risk of hypertension. Studies were identified by searching PubMed, Embase and Web of Science and by reviewing reference lists. Study-specific risk estimates comparing the highest versus lowest quantile of PCB distribution were combined using random-effects models. We identified 10 cross-sectional studies, 6 cohort studies, and 1 nested case-control study. A pooled excess risk of hypertension was found for total PCBs (OR 1.70, 95% CI 1.28-2.26), dioxin-like (DL)-PCBs (OR 1.46, 1.19-1.79), but not for non-dioxin like (NDL)-PCBs (OR 1.19, 0.81-1.73) comparing the highest with the lowest quartile of the distribution. According to a dose-response meta-analysis, a linear dose-effect relationship was found for total PCBs [OR 2.23 (95% CI: 1.59-3.14) for 1000 ng PCB/g lipid increase]. This positive association remained when stratifying the analyses by study design (cohort vs cross-sectional studies) and population (general population vs high exposed workers/residents). Among single PCB congeners, DL-PCB 105 and 118, and non-DL-PCB138 and 153 were related to hypertension. In conclusion, this meta-analysis suggests that exposure to PCBs, particularly to DL-PCBs, may be a risk factor for hypertension, independently of other risk factors.","<p>Place: England</p> | RAYYAN-INCLUSION: {""Lorenzo""=>""Included"", ""z5393783""=>""Maybe""} | RAYYAN-INCLUSION: {""z5393783""=>""Excluded"", ""Coralie""=>""Excluded""} | RAYYAN-LABELS: not organochlorine pesticide",10.1016/j.chemosphere.2020.126984,Humans;Cross-Sectional Studies;Female;Middle Aged;Case-Control Studies;Risk Factors;Dioxins;Polychlorinated biphenyls;Hypertension;Polychlorinated Dibenzodioxins;Systematic review;Environmental Exposure/*statistics & numerical data;Polychlorinated Biphenyls/analysis/*metabolism;High blood pressure;Hypertension/*epidemiology/metabolism,,
rayyan-894980363,"A critical review on the formation, fate and degradation of the persistent organic pollutant hexachlorocyclohexane in water systems and waste streams.",2021,1,1,Chemosphere,1879-1298 (Electronic),271,,129866,,https://pubmed.ncbi.nlm.nih.gov/33736213/,eng,,,"The environmental impacts of persistent organic pollutants (POPs) is an increasingly prominent topic in the scientific community. POPs are stable chemicals that are accumulated in living beings and can act as endocrine disruptors or carcinogens on prolonged exposure. Although efforts have been taken to minimize or ban the use of certain POPs, their use is still widespread due to their importance in several industries. As a result, it is imperative that POPs in the ecosystem are degraded efficiently and safely in order to avoid long-lasting environmental damage. This review focuses on the degradation techniques of hexachlorocyclohexane (HCH), a pollutant that has strong adverse effects on a variety of organisms. Different technologies such as adsorption, bioremediation and advanced oxidation process have been critically analyzed in this study. All 3 techniques have exhibited near complete removal of HCH under ideal conditions, and the median removal efficiency values for adsorption, bioremediation and advanced oxidation process were found to be 80%, 93% and 82% respectively. However, it must be noted that there is no ideal HCH removal technique and the selection of removal method depends on several factors. Furthermore, the fates of HCH in the environment and challenges faced by HCH degradation have also been explained in this study. The future scope for research in this field has also received attention.","RAYYAN-INCLUSION: {""Lorenzo""=>""Maybe"", ""z5393783""=>""Maybe""} | RAYYAN-INCLUSION: {""z5393783""=>""Excluded"", ""Coralie""=>""Excluded""} | RAYYAN-LABELS: no meta-analysis",,Ecosystem;Lindane;Environmental;Water;Biodegradation;*Hexachlorocyclohexane;*Persistent Organic Pollutants,,
rayyan-894980364,Household exposure to pesticides and risk of childhood acute leukaemia,2006,1,1,,13510711,63,2,,,,,,,"Objectives: To investigate the relation between childhood acute leukaemia and household exposure to pesticides. Methods: The study included 280 incident cases of acute leukaemia and 288 controls frequency matched on gender, age, hospital, and ethnic origin. The data were obtained from standardised face to face interviews of the mothers with detailed questions on parental occupational history, home and garden insecticide use, and insecticidal treatment of pediculosis. Odds ratios were estimated using unconditional regression models including the stratification variables parental socioeconomic status and housing characteristics. Results: Acute leukaemia was observed to be significantly associated with maternal home insecticide use during pregnancy (OR = 1.8, 95% CI 1.2 to 2.8) and during childhood (OR= 1.7, 95% CI 1.1 to 2.4), with garden insecticide use (OR = 2.4, 95% CI 1.3 to 4.3), and fungicide use (OR = 2.5, 95% CI 1.0 to 6.2) during childhood. Insecticidal shampoo treatment of pediculosis was also associated with childhood acute leukaemia (OR = 1.9, 95% CI 1.2 to 3.3). Conclusion: The results reported herein support the hypothesis that various types of insecticide exposure may be a risk factor for childhood acute leukaemia. The observed association with insecticidal shampoo treatment of pediculosis, which has never been investigated before, requires further study.","RAYYAN-INCLUSION: {""Losia""=>""Maybe"", ""z5393783""=>""Maybe""} | RAYYAN-INCLUSION: {""z5393783""=>""Excluded"", ""Coralie""=>""Excluded""} | RAYYAN-LABELS: no systematic review of literature",10.1136/oem.2005.023036,Pesticides,,
rayyan-894980365,Carcinogenic risk from biocides in Chesapeake Bay fish and shellfish: a meta-analysis,1998,1,1,,01449281,17,1,,,,,,,"Edible biota from Chesapeake Bay represent a notable link between the regional population and aquatic contaminants like agricultural biocides. To assess the possible carcinogenic risk associated with consuming Chesapeake Bay seafood, hypothetical models were constructed using the maximum detected levels of pesticides in fish and shellfish, levels of regional seafood consumption, and reported carcinogenic potentcy factors for the residues in question. Maximum carcinogenic risk ranged above the 10-2 risk level for each of six population groups considered. While chlordecone accounts for over 90% of the carcinogenic burden of each group, there are numerous reasons to interprete cautiously its associated risk (anomalous release, localized pollution, high potency factor, etc.). Without consideration of chlordecone burdens, maximum hypothetical risk levels still range above 10-3 for all six groups. This degree of risk exceeds commonly held acceptable levels by at least one order of magnitude and underscores the need for expanded research and additional refinement of environmental studies.","RAYYAN-INCLUSION: {""Losia""=>""Maybe"", ""z5393783""=>""Maybe""} | RAYYAN-INCLUSION: {""z5393783""=>""Excluded"", ""Coralie""=>""Excluded""} | RAYYAN-LABELS: no pdf,full text not available",,Disinfectants,,
rayyan-894980366,Transfer of persistent organic pollutants in food of animal origin – Meta-analysis of published data,2021,1,1,Chemosphere,1879-1298 (Electronic),262,,128351,,https://pubmed.ncbi.nlm.nih.gov/33182113/,eng,,,"The transfer of POPs in food of animal origin has been studied by a meta-analysis of 28 peer-reviewed articles using transfer rate (TR) for milk and eggs and bioconcentration factors (BCF) for eligible tissues after establishing an adapted methodology. TRs of the most toxic PCDD/Fs into milk were generally elevated and even higher into eggs. BCFs in excreting adult animals varied widely between studies complicating to hierarchize tissues or congeners, even if liver and fat seemed to bioconcentrate more than lean tissues. Short time studies have clearly shown low BCFs contrarily to field studies showing the highest BCFs. The BCFs of PCDD/Fs in growing animals were higher in liver than in fat or muscle. In contrast to easily bioconcentrating hexachlorinated congeners, octa- and heptachlorinated congeners barely bioconcentrate. PCB transfer into milk and eggs was systematically high for very lipophilic congeners. Highly ortho-chlorinated PCBs were transferred >50% into milk and eggs and even >70% for congeners 123 and 167 into eggs. BCFs of the most toxic PCBs 126 and 169 were significantly higher than for less toxic congeners. BCFs seem generally low in PBDEs except congeners 47, 153 and 154. DDT and its metabolites showed high bioconcentration. Differences between tissues appeared but were masked by a study effect. In addition to some methodologic recommendations, this analysis showed the high transfer of POPs into eggs, milk and liver when animals were exposed justifying a strong monitoring in areas with POP exposure. © 2020 Elsevier Ltd","RAYYAN-INCLUSION: {""Lorenzo""=>""Included"", ""z5393783""=>""Included""} | RAYYAN-LABELS: check it out | RAYYAN-INCLUSION: {""z5393783""=>""Included"", ""Coralie""=>""Included""} | RAYYAN-LABELS: not conventional meta-analysis",10.1016/j.chemosphere.2020.128351,Animals;Environmental Monitoring;Food Chain;Dibenzofurans;Livestock;Environmental Pollutants/*analysis;Polychlorinated Biphenyls/analysis;Halogenated Diphenyl Ethers/analysis;Food Contamination/*analysis;Dibenzofurans/analysis;Eggs/analysis;Milk/chemistry;Polychlorinated Dibenzodioxins/analysis;Animal Shells;Polychlorinated/analysis,,
rayyan-894980367,Reference values for metabolites of pyrethroid and organophosphorous insecticides in urine for human biomonitoring in environmental medicine,2006,1,1,INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH,1438-4639,209,3,293-299,,,,,,"Pesticides are widely used throughout the world in agriculture to protect crops, and in public health to control diseases transmitted by vectors or intermediate hosts. After the prohibition of organochlorines, such as DDT, today mainly pyrethroids and organophosphorous insecticides are used. With reliable and sensitive analytical methods for detecting metabolites of organophosphorous and pyrethroid insecticides in urinary specimens of the general population several studies have been published on internal exposure to these insecticides of the population in Germany. In total, data on levels of metabolites of organophosphorous acids in urine of about 1200 children and adults have been published, as well as data on levels of pyrethroid metabolites in urine of about 2100 children and adults. In Germany, reference values for environmental pollutants related to the population are established continuously by the Human Biomonitoring Commission of the German Federal Environmental Agency, preferably based on data gained by representative studies. Reference values are defined as the 95th percentile, rounded off within the 95% confidence interval of the population studied. Since there is a need for reference values to characterise the population's exposure to organophosphates and pyrethroids, and since there are different studies available from Germany that agree quite well with data from other industrialised countries, the Commission has derived reference values from the available data, though none of the studies had fulfilled criteria on representativity. Reference values for metabolites of organophosphorous acids are as follows: DMP 135 mu g/l, DMTP 160 mu g/l and DEP 16 mu g/l and for metabolites of pyrethroids: cis-Cl2CA 1 mu g/l, trans-Cl2CA 2 mu g/l and 3-PBA 2 mu g/l. As the volume-related concentrations of organophosphate and pyrethroid metabolites show no significant age-dependence, the reference values derived are not age-stratified. Though based merely on statistical and not on toxicological data, levels analysed above the reference levels, when reliably measured (verified several times), should prompt environmental health practitioners to search for sources, within the bounds of proportionality. In addition to accidental poisoning, possible sources include indoor contamination following improper pest control operations in homes as well as in pets and food products contaminated by these pesticides. (c) 2006 Elsevier GmbH. All rights reserved.","RAYYAN-INCLUSION: {""Losia""=>""Maybe"", ""z5393783""=>""Maybe""} | RAYYAN-INCLUSION: {""z5393783""=>""Excluded"", ""Coralie""=>""Excluded""} | RAYYAN-LABELS: no meta-analysis,no systematic review of literature",10.1016/j.ijheh.2006.01.001,Humans;Reference Values;Humanism;Humanities,,
rayyan-894980368,Meta-analyses of prostate cancer and farming,1997,1,1,,02713586,31,5,,,,,,,Articles published in peer-reviewed journals between January 1983 and June 1994 were reviewed for inclusion in a meta-analysis designed to estimate the relative risk of prostate cancer in farmers. Three analyses were performed: (1) an analysis including all articles written during the specified time period that listed an estimate of the relative risk of prostate cancer in farmers; (2) an analysis that included only retrospective studies: and (3) an analysis that included only studies reporting a standardized mortality ratio. Positive associations between prostate cancer and farming were found by the analysis including all studies and the analysis limited to the retrospective studies. No association was found with the analysis that included only studies reporting a standard mortality ratio. The most plausible explanation for the positive association between prostate cancer and farming is exposure to hormonally active agricultural chemicals.,"RAYYAN-INCLUSION: {""Losia""=>""Excluded"", ""z5393783""=>""Maybe""} | RAYYAN-INCLUSION: {""z5393783""=>""Excluded"", ""Coralie""=>""Excluded""} | RAYYAN-LABELS: not meta analysis",10.1002/(SICI)1097-0274(199705)31:5<580::AID-AJIM13>3.0.CO;2-V,Prostatic Neoplasms;Prostatitis;Prostate;Prostatism,,
rayyan-894980369,"Biomonitoring in firefighters for volatile organic compounds, semivolatile organic compounds, persistent organic pollutants, and metals: A systematic review",2020,1,1,,00139351,188,,,,,,,,"This systematic review examines biomonitoring studies that have assessed firefighter occupational exposure to chemicals due to combustion. © 2020 Elsevier Inc.Firefighters are exposed to a wide range of toxic chemicals due to combustion, with numerous biomonitoring studies completed that have assessed exposure. Many of these studies focus on individual classes of chemicals, with a few considering a broad range of systemic exposures. As yet, no review process has been undertaken to comprehensively examine these studies. The aims of this review are to: (1) ascertain whether biomonitoring studies pertaining to firefighters demonstrate occupational exposure to volatile organic compounds, semivolatile organic compounds, and metals; (2) determine and present results of biomonitoring studies; (3) provide any recommendations presented from the literature that may support exposure mitigation; and (4) suggest future study parameters that may assist in providing a greater understanding surrounding the occupational exposure of firefighters. A systematic review was undertaken with regards to firefighters and biomonitoring studies utilising the matrices of blood, urine, semen and breast milk. This yielded 5690 results. Following duplicate removal, inclusion and exclusion criteria screening and full text screening, 34 studies remained for review. Results of over 80% of studies analysed determined firefighters to experience occupational exposure. Results also show firefighters to be exposed to a wide range of toxic chemicals due to fire smoke; potentially exceeding the range of exposure of other occupations. As firefighters may face increased risk of health effects due to the additive, synergistic, and/or antagonistic effects of chemical exposure, all care must be taken to reduce exposure. This may be achieved by considering tactical decisions, increased personal hygiene, and thorough decontamination procedures. Future biomonitoring studies recognising and assessing the range of chemical exposure firefighters face would be beneficial. © 2020 Elsevier Inc.","RAYYAN-INCLUSION: {""Lorenzo""=>""Excluded"", ""z5393783""=>""Maybe""} | RAYYAN-INCLUSION: {""z5393783""=>""Excluded"", ""Coralie""=>""Excluded""} | RAYYAN-LABELS: no meta-analysis",10.1016/j.envres.2020.109562,character(0),,
rayyan-894980370,Endocrine Disrupting Chemicals and Risk of Testicular Cancer: A Systematic Review and Meta-analysis.,2021,11,1,The Journal of clinical endocrinology and metabolism,1945-7197 (Electronic),106,12,e4834-e4860,,https://pubmed.ncbi.nlm.nih.gov/34270734/,eng,,,"The incidence of many hormone-dependent diseases, including testicular cancer, has sharply increased in all high-income countries during the 20th century. This is not fully explained by established risk factors. Concurrent, increasing exposure to antiandrogenic environmental endocrine disrupting chemicals (EDCs) in fetal life may partially explain this trend. This systematic review assessed available evidence regarding the association between environmental EDC exposure and risk of testicular cancer (seminomas and nonseminomas). Following PRISMA guidelines, a search of English peer-reviewed literature published prior to December 14, 2020 in the databases PubMed and Embase® was performed. Among the 279 identified records, 19 were eligible for quality assessment and 10 for further meta-analysis. The completeness of reporting was high across papers, but over 50% were considered subject to potential risk of bias. Mean age at diagnosis was 31.9 years. None considered effects of EDC multipollutant mixtures. The meta-analyses showed that maternal exposure to combined EDCs was associated with a higher risk of testicular cancer in male offspring [summary risk ratios: 2.16, (95% CI:1.78-2.62), 1.93 (95% CI:1.49-2.48), and 2.78 (95% CI:2.27-3.41) for all, seminoma, and nonseminoma, respectively]. Similarly, high maternal exposures to grouped organochlorines and organohalogens were associated with higher risk of seminoma and nonseminoma in the offspring. Summary estimates related to postnatal adult male EDC exposures were inconsistent. Maternal, but not postnatal adult male, EDC exposures were consistently associated with a higher risk of testicular cancer, particularly risk of nonseminomas. However, the quality of studies was mixed, and considering the fields complexity, more prospective studies of prenatal EDC multipollutant mixture exposures and testicular cancer are needed.","RAYYAN-INCLUSION: {""Lorenzo""=>""Included"", ""z5393783""=>""Included""} | RAYYAN-INCLUSION: {""z5393783""=>""Included"", ""Coralie""=>""Included""}",,Humans;Male;Risk Factors;Prognosis;Testicular Neoplasms;Environmental Exposure/*adverse effects;Endocrine Disruptors/*adverse effects;Testicular Neoplasms/chemically induced/*pathology,,
