key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-396602465,Predicting into unknown space? Estimating the area of applicability of spatial prediction models,2021,9,1,METHODS IN ECOLOGY AND EVOLUTION,"[""2041-210X"", ""2041-2096     J9  - METHODS ECOL EVOL     JI  - Methods Ecol. Evol.""]",12,9,1620-1633,"Meyer, H and Pebesma, E",,English,,"[""Westfalische Wilhelms Univ Munster, Inst Landscape Ecol, Munster, Germany"", ""Westfalische Wilhelms Univ Munster, Inst Geoinformat, Munster, Germany     FU  - Projekt DEAL     FX  - Open Access funding enabled and organized by Projekt DEAL.     PU  - WILEY     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA""]","Machine learning algorithms have become very popular for spatial mapping of the environment due to their ability to fit nonlinear and complex relationships. However, this ability comes with the disadvantage that they can only be applied to new data if these are similar to the training data. Since spatial mapping requires predictions to new geographic space which in many cases goes along with new predictor properties, a method to assess the area to which a prediction model can be reliably applied is required. Here, we suggest a methodology that delineates the 'area of applicability' (AOA) that we define as the area where we enabled the model to learn about relationships based on the training data, and where the estimated cross-validation performance holds. We first propose a 'dissimilarity index' (DI) that is based on the minimum distance to the training data in the multidimensional predictor space, with predictors being weighted by their respective importance in the model. The AOA is then derived by applying a threshold which is the (outlier-removed) maximum DI of the training data derived via cross-validation. We further use the relationship between the DI and the cross-validation performance to map the estimated performance of predictions. We illustrate the approach in a simulated case study chosen to mimic ecological realities and test the credibility by using a large set of simulated data. The simulation studies showed that the prediction error within the AOA is comparable to the cross-validation error of the trained model, while the cross-validation error does not apply outside the AOA. This applies to models being trained with randomly distributed training data, as well as when training data are clustered in space and where spatial cross-validation is applied. Using the relationship between DI and cross-validation performance showed potential to limit predictions to the area where a user-defined performance applies. We suggest to add the AOA computation to the modeller's standard toolkit and to present predictions for the AOA only. We further suggest to report a map of DI-dependent performance estimates alongside prediction maps and complementary to (cross-)validation performance measures and the common uncertainty estimates.","Times Cited in Web of Science Core Collection:  43     Total Times Cited:  43     Cited Reference Count:  47 | RAYYAN-LABELS: not statistical models | RAYYAN-INCLUSION: {""Coralie""=>""Included""} | RAYYAN-INCLUSION: {""Coralie""=>""Included""}",10.1111/2041-210X.13650,machine learning;model transferability;predictive modelling;Random Forest;remote sensing;spatial mapping;uncertainty;CROSS-VALIDATION;PERFORMANCE;UNCERTAINTY;STRATEGIES;ACCURACY;FOREST;DOMAIN;RANGE;BIAS,,
rayyan-396602466,Comparing traditional and Bayesian approaches to ecological meta-analysis,2020,10,1,METHODS IN ECOLOGY AND EVOLUTION,"[""2041-210X"", ""2041-2096     J9  - METHODS ECOL EVOL     JI  - Methods Ecol. Evol.""]",11,10,1286-1295,"Pappalardo, P and Ogle, K and Hamman, EA and Bence, JR and Hungate, BA and Osenberg, CW",,English,,"[""Univ Georgia, Odum Sch Ecol, Athens, GA 30602 USA"", ""No Arizona Univ, Sch Informat Comp & Cyber Syst, Flagstaff, AZ 86011 USA"", ""No Arizona Univ, Ctr Ecosyst Sci & Soc, Flagstaff, AZ 86011 USA"", ""No Arizona Univ, Dept Biol Sci, Flagstaff, AZ 86011 USA"", ""Michigan State Univ, Quantitat Fisheries Ctr, Dept Fisheries & Wildlife, E Lansing, MI 48824 USA     FU  - Biological and Environmental Research [DE-SC-0010632]; National Science Foundation [DEB-1655426, DEB-1655394]     FX  - Biological and Environmental Research, Grant/Award Number: DE-SC-0010632; National Science Foundation, Grant/Award Number: DEB-1655426 and DEB-1655394     PU  - WILEY     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA""]","Despite the wide application of meta-analysis in ecology, some of the traditional methods used for meta-analysis may not perform well given the type of data characteristic of ecological meta-analyses. We reviewed published meta-analyses on the ecological impacts of global climate change, evaluating the number of replicates used in the primary studies (n(i)) and the number of studies or records (k) that were aggregated to calculate a mean effect size. We used the results of the review in a simulation experiment to assess the performance of conventional frequentist and Bayesian meta-analysis methods for estimating a mean effect size and its uncertainty interval. Our literature review showed thatn(i)andkwere highly variable, distributions were right-skewed and were generally small (mediann(i) = 5, mediank = 44). Our simulations show that the choice of method for calculating uncertainty intervals was critical for obtaining appropriate coverage (close to the nominal value of 0.95). Whenkwas low (<40), 95% coverage was achieved by a confidence interval (CI) based on thetdistribution that uses an adjusted standard error (the Hartung-Knapp-Sidik-Jonkman, HKSJ), or by a Bayesian credible interval, whereas bootstrap orzdistribution CIs had lower coverage. Despite the importance of the method to calculate the uncertainty interval, 39% of the meta-analyses reviewed did not report the method used, and of the 61% that did, 94% used a potentially problematic method, which may be a consequence of software defaults. In general, for a simple random-effects meta-analysis, the performance of the best frequentist and Bayesian methods was similar for the same combinations of factors (kand mean replication), though the Bayesian approach had higher than nominal (>95%) coverage for the mean effect whenkwas very low (k < 15). Our literature review suggests that many meta-analyses that usedzdistribution or bootstrapping CIs may have overestimated the statistical significance of their results when the number of studies was low; more appropriate methods need to be adopted in ecological meta-analyses.","Times Cited in Web of Science Core Collection:  10     Total Times Cited:  10     Cited Reference Count:  41 | RAYYAN-INCLUSION: {""Coralie""=>""Maybe""} | RAYYAN-INCLUSION: {""Coralie""=>""Included""}",10.1111/2041-210X.13445,bias;confidence interval;coverage;credible interval;effect size;global climate change;log response ratio;sample size;CONFIDENCE-INTERVALS;HETEROGENEITY;VARIANCE;MODELS;TESTS,,
rayyan-396602467,Combining Harvest and Genetics to Estimate Reproduction in Wolves,2020,4,1,JOURNAL OF WILDLIFE MANAGEMENT,"[""0022-541X"", ""1937-2817     J9  - J WILDLIFE MANAGE     JI  - J. Wildl. Manage.""]",84,3,492-504,"Clendenin, HR and Adams, JR and Ausband, DE and Hayden, JA and Hohenlohe, PA and Waits, LP",,English,,"[""Univ Idaho, Inst Bioinformat & Evolutionary Studies, Dept Biol Sci, 875 Perimeter Dr MS3051, Moscow, ID 83844 USA"", ""Univ Idaho, Lab Ecol Evolutionary & Conservat Genet, Dept Fish & Wildlife Sci, 875 Perimeter Dr MS1136, Moscow, ID 83844 USA"", ""Idaho Dept Fish & Game, Coeur Dalene, ID 83815 USA"", ""Idaho Dept Fish & Game, POB 25, Boise, ID 83814 USA"", ""Univ Idaho, Dept Fish & Wildlife Sci, 875 Perimeter Dr MS1136, Moscow, ID 83844 USA"", ""Univ Idaho, Idaho Cooperat Fish & Wildlife Res Unit, US Geol Survey, 875 Perimeter Dr MS1141, Moscow, ID 83844 USA     FU  - IDFG; University of Idaho College of Natural Resources     FX  - We thank the IDFG field technicians and biologists for collection of samples, and specifically J. L. Struthers for collection, management, and coordination of samples. We thank the Laboratory of Ecological, Evolutionary, and Conservation Genetics for the laboratory support, especially M. M. Keyes, D. S. Gour, and K. L. Cochrell for assistance with genotyping and analyses. We are grateful for the thoughtful feedback from C. R. Miller and from our reviewers. Financial support was provided by IDFG and University of Idaho College of Natural Resources.     PU  - WILEY     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA""]","Parameters of reproductive success are important to the management of wildlife populations. Genetic monitoring can be an effective approach for acquiring this important demographic information when traditional methods are unsuccessful, inefficient, or too expensive. This study demonstrates a novel application of genetic data opportunistically collected from harvested game to estimate a minimum annual count of breeding packs of gray wolves (Canis lupus) and to provide a coarse index of harvest vulnerability of young of the year (YOY) across packs. We used 18 microsatellite loci to genotype 98 gray wolf YOY from 2014 and 105 from 2015 harvested in Idaho, USA. Using this genotype data, we reconstructed sibling groups for each cohort using the program COLONY and treated full-sibling litters as proxies for unique packs. In addition to evaluating our marker panel using simulations, we assessed the accuracy of empirical relationship assignments by adding YOY of known relationship from long-term study packs to the dataset (27 individuals from 2014 and 61 from 2015) and tracking correctly reconstructed relationships. We varied COLONY input parameters to evaluate the power of relationship assignments under conditions that may be encountered when working with empirical data. We also compared COLONY's estimates of effective number of breeders based on sibship frequency to estimates based on a commonly used linkage-disequilibrium method. All COLONY runs for both cohorts correctly identified the known sibling relationships. Among the other individuals, changes in the geographic clustering of putative siblings, probabilities of inclusion and exclusion for reconstructed sibling groups, and consistency of relationship assignments across COLONY runs suggested that marker number had a larger effect on accuracy than access to population-level genetic data. Our estimates of breeding packs subjected to harvest within the state (52 for 2014 and 63 for 2015) differed from estimates reported by Idaho Department of Fish and Game by <= 6 for both years. Among packs that had pups harvested, most packs had 1-2 YOY harvested, whereas other packs had as many as 5 YOY harvested. All estimates of the number of effective breeders had overlapping confidence intervals regardless of method, though sibship frequency-based estimates had larger confidence intervals than estimates using the linkage disequilibrium method. Our study shows that sibling relationships can be accurately and reliably reconstructed from harvested gray wolves, and demonstrates a valuable new use of samples collected through harvest. (c) 2020 The Wildlife Society.","Times Cited in Web of Science Core Collection:  2     Total Times Cited:  2     Cited Reference Count:  76 | RAYYAN-INCLUSION: {""Coralie""=>""Included""} | RAYYAN-INCLUSION: {""Coralie""=>""Excluded""} | RAYYAN-LABELS: not evaluating a stats model",10.1002/jwmg.21820,Canis lupus;genetic monitoring;harvest;reproduction;sibship reconstruction;western United States;EFFECTIVE POPULATION-SIZE;SUCCESSFUL BREEDING PAIRS;SIBSHIP RECONSTRUCTION;ROCKY-MOUNTAINS;CANIS-LUPUS;PARENTAGE;SOFTWARE;MARKERS;MICROSATELLITE;RELATEDNESS,,
rayyan-396602468,CladeDate: Calibration information generator for divergence time estimation,,1,1,METHODS IN ECOLOGY AND EVOLUTION,"[""2041-210X"", ""2041-2096     J9  - METHODS ECOL EVOL     JI  - Methods Ecol. Evol.""]",,,,"Claramunt, S",,English,,"[""Royal Ontario Museum, Dept Nat Hist, Toronto, ON, Canada"", ""Univ Toronto, Dept Ecol & Evolutionary Biol, Toronto, ON, Canada     FU  - Natural Sciences and Engineering Research Council of Canada [RGPIN--2018--06747]     FX  - Natural Sciences and Engineering Research Council of Canada, Grant/Award Number: RGPIN--2018--06747     PU  - WILEY     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA""]","Time-scaled phylogenetic trees are essential tools in modern biology and node-based calibrations have been the main approach to time-tree estimation. But methods for generating the required calibration information are scarce and difficult to parameterize. Here, I present CladeDate, an R package for the generation of empirical calibration information from the fossil record. CladeDate uses simple mathematical models to estimate the age of a clade and its uncertainty based on fossil times. Using a Monte Carlo approach, CladeDate generates empirical densities representing the uncertainty associated with the age of the clade and fits standard probability density functions that can be used in time-tree inference software such as BEAST2, MrBayes and MCMCtree. I show with simulations that the calibration information generated with CladeDate produces accurate time-trees and compares favourably with more complex methods. I demonstrate the use CladeDate for the generation of calibration information, including point estimates, upper bounds and calibration densities, for passerine birds. CladeDate is particularly suited for groups with limited fossil information or when assumptions of more complex methods are not met, and provides a general and practical solution to the problem of generating calibration information for divergence time estimation.","Times Cited in Web of Science Core Collection:  0     Total Times Cited:  0     Cited Reference Count:  48 | RAYYAN-INCLUSION: {""Coralie""=>""Included""}",10.1111/2041-210X.13977,calibration densities;divergence time estimation;empirical priors;fossil dating;fossil record;PHYLOGENETIC ESTIMATION;STRATIGRAPHIC RANGES;CONFIDENCE-INTERVALS;FOSSIL CALIBRATIONS;MASS EXTINCTION;UNCERTAINTY;EVOLUTION;INFERENCE;CLOCKS;MODEL;Calibration,,
rayyan-396602469,A stochastic rate-calibrated method for time-scaling phylogenies of fossil taxa,2013,8,1,METHODS IN ECOLOGY AND EVOLUTION,"[""2041-210X"", ""2041-2096     J9  - METHODS ECOL EVOL     JI  - Methods Ecol. Evol.""]",4,8,724-733,"Bapst, DW",,English,,"Univ Chicago, Dept Geophys Sci, Chicago, IL 60637 USA     PU  - WILEY     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA","1. Applying phylogeny-based analyses of trait evolution and diversification in the fossil record generally involves transforming an unscaled cladogram into a phylogeny scaled to geologic time. Current methods produce single time-scaled phylogenies with no indication of the uncertainty in the temporal relationships and, under some methods, artificial zero-length branches.        2. Here, I present a stochastic algorithm for time-scaling phylogenies of fossil taxa by randomly sampling node ages from a constrained distribution, with the ultimate goal of producing large samples of time-scaled phylogenies for a given data set as the basis for phylogeny-based analyses. I describe how this stochastic approach can be extended to consider potential ancestral relationships and resolve polytomies.        3. The stochastic selection of node ages in this algorithm is weighted by the probability density of the total inferable unobserved evolutionary history at single divergence events in a tree, a distribution dependent on rates of branching, extinction and sampling in the fossil record.        4. The combined time-scaling method must be calibrated with explicit estimates of three rates: branching, extinction and sampling, and thus is named the cal3 time-scaling method, included in the r library paleotree. I test the time-scaling capabilities of the cal3 and older time-scaling methods in simulations. cal3 produces samples of time-scaled trees that better bracket the uncertainty in the true node ages than existing time-scaling methods. This is true even in simulations under a terminal-taxon' model of differentiation that violates many of the assumptions of the cal3 method.        5. The cal3 method provides a new approach for time-scaling palaeontological cladograms, calibrated to estimated sampling and diversification rates, allowing for better estimates of uncertainty in the phylogenetic time-scaling. The cal3 method is robust to relaxation of at least some model assumptions. Additional work is needed to analyse the impact of time-scaling approaches on macroevolutionary analyses and to integrate time-scaling with phylogenetic inference.","Times Cited in Web of Science Core Collection:  85     Total Times Cited:  85     Cited Reference Count:  40 | RAYYAN-INCLUSION: {""Coralie""=>""Maybe""}",10.1111/2041-210X.12081     WE  - Science Citation Index Expanded (SCI-EXPANDED),cladistics;comparative methods;diversification;extinct lineages;fossil time-trees;incomplete sampling;palaeontology;CONFIDENCE-INTERVALS;BODY-SIZE;EVOLUTIONARY;RECORD;PROBABILITY;RADIATION;ORIGINS;Calibration,,
rayyan-396602470,Estimating the spatial scales of landscape effects on abundance,2016,8,1,LANDSCAPE ECOLOGY,"[""0921-2973"", ""1572-9761     J9  - LANDSCAPE ECOL     JI  - Landsc. Ecol.""]",31,6,1383-1394,"Chandler, R and Hepinstall-Cymerman, J",,English,,"Univ Georgia, Warnell Sch Forestry & Nat Resources, 180 E Green St, Athens, GA 30602 USA     FU  - Coweeta Hydrologic Laboratory; USDA Forest Service; North Carolina Wildlife Resources Commission; Coweeta LTER, NSF Grant [DEB-0823293]; Division Of Environmental Biology [1440485] Funding Source: National Science Foundation     FX  - We thank Samuel Merker and Anna Joy Lehmicke for collecting the point count data. Paige Howell provided useful suggestions and comments on a previous version of the manuscript. Two anonymous reviewers provided insightful comments that improved the manuscript. Permission to conduct research within and around the Coweeta Basin Hydrologic Laboratory was granted by the Coweeta Hydrologic Laboratory, the USDA Forest Service, and the North Carolina Wildlife Resources Commission. JHC was supported by the Coweeta LTER, NSF Grant DEB-0823293.     PU  - SPRINGER     PI  - DORDRECHT     PA  - VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS","Spatial variation in abundance is influenced by local- and landscape-level environmental variables, but modeling landscape effects is challenging because the spatial scales of the relationships are unknown. Current approaches involve buffering survey locations with polygons of various sizes and using model selection to identify the best scale. The buffering approach does not acknowledge that the influence of surrounding landscape features should diminish with distance, and it does not yield an estimate of the unknown scale parameters.        The purpose of this paper is to present an approach that allows for statistical inference about the scales at which landscape variables affect abundance.        Our method uses smoothing kernels to average landscape variables around focal sites and uses maximum likelihood to estimate the scale parameters of the kernels and the effects of the smoothed variables on abundance. We assessed model performance using a simulation study and an avian point count dataset.        The simulation study demonstrated that estimators are unbiased and produce correct confidence interval coverage except in the rare case in which there is little spatial autocorrelation in the landscape variable. Canada warbler abundance was more highly correlated with site-level measures of NDVI than landscape-level NDVI, but the reverse was true for elevation. Canada warbler abundance was highest when elevation in the surrounding landscape, defined by an estimated Gaussian kernel, was between 1300 and 1400 m.        Our method provides a rigorous way of formally estimating the scales at which landscape variables affect abundance, and it can be embedded within most classes of statistical models.","Times Cited in Web of Science Core Collection:  36     Total Times Cited:  36     Cited Reference Count:  38 | RAYYAN-INCLUSION: {""Coralie""=>""Included""} | RAYYAN-INCLUSION: {""Coralie""=>""Included""}",10.1007/s10980-016-0380-z     WE  - Science Citation Index Expanded (SCI-EXPANDED),Appalachian Mountains;Cardellina canadensis;Habitat selection;Kernel smoothing;Moving window analysis;Characteristic scale;SPECIES-ENVIRONMENT RELATIONSHIPS;CONNECTIVITY MEASURES;POPULATION-SIZE;BIRD ABUNDANCE;MODELS;ASSOCIATIONS;DISTANCE,,
rayyan-396602471,Occupancy estimation for rare species using a spatially-adaptive sampling design,2016,3,1,METHODS IN ECOLOGY AND EVOLUTION,"[""2041-210X"", ""2041-2096     J9  - METHODS ECOL EVOL     JI  - Methods Ecol. Evol.""]",7,3,285-293,"Pacifici, K and Reich, BJ and Dorazio, RM and Conroy, MJ",,English,,"[""N Carolina State Univ, Dept Appl Ecol, Raleigh, NC 27695 USA"", ""N Carolina State Univ, Dept Stat, Raleigh, NC 27695 USA"", ""US Geol Survey, Southeast Ecol Sci Ctr, Gainesville, FL 32653 USA"", ""Univ Georgia, Warnell Sch Forestry & Nat Resources, Athens, GA 30602 USA     FU  - National Natural Sciences Foundation of China [2005DIB5JI42, 31170588, 30510103195]; Georgia Cooperative Fish and Wildlife Research Unit     FX  - The authors would like to express a special thanks to the Yuancai Lei for providing the data. Additional thanks to the Ministry of Science and Technology and National Natural Sciences Foundation of China for fiscal support for the field work (Project Research Grants 2005DIB5JI42, 31170588 and 30510103195). The comments of the associate editor and two anonymous reviewers substantially improved the manuscript. We would also like to acknowledge the Georgia Cooperative Fish and Wildlife Research Unit for financial assistance. Use of trade, product or firm names does not imply endorsement by the U.S. Government.     PU  - WILEY     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA""]","Spatially clustered populations create unique challenges for conservation monitoring programmes. Advances in methodology typically are focused on either the design or the modelling stage of the study but do not involve integration of both. We integrate adaptive cluster sampling and spatial occupancy modelling by developing two models to handle the dependence induced by cluster sampling. We compare these models to scenarios using simple random sampling and traditional occupancy models via simulation and data collected on a rare plant species, Tamarix ramosissima, found in China. Our simulations show a marked improvement in confidence interval coverage for the new models combined with cluster sampling compared to simple random sampling and traditional occupancy models, with greatest improvement in the presence of low detection probability and spatial correlation in occupancy. Accounting for the design using the simple cluster random-effects model reduces bias considerably, and full spatial modelling reduces bias further, especially for large n when the spatial covariance parameters can be estimated reliably. Both new models build on the strength of occupancy modelling and adaptive sampling and perform at least as well, and often better, than occupancy modelling alone. We believe our approach is unique and potentially useful for a variety of studies directed at patchily distributed, clustered or rare species exhibiting spatial variation.","Times Cited in Web of Science Core Collection:  31     Total Times Cited:  31     Cited Reference Count:  58 | RAYYAN-INCLUSION: {""Coralie""=>""Included""}",10.1111/2041-210X.12499     WE  - Science Citation Index Expanded (SCI-EXPANDED),adaptive cluster sampling;informative sampling;probit regression;rare species;spatial regression;Tamarix ramosissima;COUNT DATA;ABUNDANCE;MODELS;POPULATIONS;INFERENCE;RICHNESS;2-PHASE;RATES;BIAS,,
rayyan-396602472,"Likelihood-Based Parameter Estimation for High-Dimensional Phylogenetic Comparative Models: Overcoming the Limitations of ""Distance-Based"" Methods",2016,9,1,SYSTEMATIC BIOLOGY,"[""1063-5157"", ""1076-836X     J9  - SYST BIOL     JI  - Syst. Biol.""]",65,5,852-870,"Goolsby, EW",,English,,"[""Harvard Univ, Arnold Arboretum, 1300 Ctr St, Boston, MA 02131 USA"", ""Univ Georgia, Dept Plant Biol, Interdisciplinary Toxicol Program, Athens, GA 30602 USA     FU  - National Science Foundation [DEB-1501215]     FX  - This work was supported in part by the National Science Foundation [DEB-1501215].     PU  - OXFORD UNIV PRESS     PI  - OXFORD     PA  - GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND""]","Recently, a suite of distance-based multivariate phylogenetic comparative methods has been proposed for studying the evolution of high-dimensional traits, such as morphometric coordinates, gene expression data, and function-valued traits. These methods allow for the statistical comparison of evolutionary rates, assessment of phylogenetic signal, and tests of correlated high-dimensional trait evolution. Simulations reveal that distance-based comparative methods exhibit low statistical power and high Type I error under various evolutionary scenarios. Distance-based methods are also limited to relatively simple model specification (e.g., Brownian motion evolution) due to the lack of a likelihood function for parameter estimation. Here I propose an alternative method for studying high-dimensional trait evolution which overcomes some of the statistical limitations associated with distance-based methods. This framework, based on parametric bootstrapping and maximum pseudolikelihood parameter estimation, opens up the ability to estimate alternative evolutionary models, combine multiple evolutionary hypotheses, and potentially allow missing data and within-species variation. Simulations reveal that pairwise composite likelihood methods demonstrate appropriate Type I error and high statistical power, thus providing a robust framework for studying high-dimensional trait evolution. These methods are implemented in the R package phylocurve.","Times Cited in Web of Science Core Collection:  27     Total Times Cited:  27     Cited Reference Count:  49 | RAYYAN-INCLUSION: {""Coralie""=>""Included""}",10.1093/sysbio/syw051     WE  - Science Citation Index Expanded (SCI-EXPANDED),Covariance;distance;evolutionary rate;function-valued trait;high-dimensional;morphometric;multivariate;pairwise composite likelihood;phylogenetic comparative method;phylogenetic generalized least squares;phylogenetic signal;WITHIN-SPECIES VARIATION;EVOLUTIONARY RATES;R PACKAGE;SHAPE;REGRESSION;SIGNAL;DIVERSIFICATION;ALGORITHM;INTERPLAY;INFERENCE,,
rayyan-396602473,Investigating evolutionary lag using the species-pairs evolutionary lag test (SPELT),2015,1,1,EVOLUTION,"[""0014-3820"", ""1558-5646     J9  - EVOLUTION     JI  - Evolution""]",69,1,245-253,"Nunn, CL and Cooper, N",,English,,"[""Duke Univ, Dept Evolutionary Anthropol, Durham, NC 27708 USA"", ""Trinity Coll Dublin, Coll Green, Sch Nat Sci, Dublin, Ireland"", ""Trinity Coll Dublin, Trinity Ctr Biodivers Res, Dublin, Ireland     FU  - National Science Foundation [BCS-0923791]; National Evolutionary Synthesis Center (NSF) [EF-0905606]; European Commission CORDIS Seventh Framework Program (FP7) Marie Curie CIG grant [321696]     FX  - We thank R. Griffin for help with the figures and references, and two anonymous referees for helpful suggestions. This project was initiated during the AnthroTree Workshop, which is supported by the National Science Foundation (BCS-0923791) and the National Evolutionary Synthesis Center (NSF grant EF-0905606). NC is supported by the European Commission CORDIS Seventh Framework Program (FP7) Marie Curie CIG grant, proposal number: 321696.     PU  - WILEY-BLACKWELL     PI  - HOBOKEN     PA  - 111 RIVER ST, HOBOKEN 07030-5774, NJ USA""]","For traits showing correlated evolution, one trait may evolve more slowly than the other, producing evolutionary lag. The species-pairs evolutionary lag test (SPELT) uses an independent contrasts based approach to detect evolutionary lag on a phylogeny. We investigated the statistical performance of SPELT in relation to degree of lag, sample size (species pairs), and strength of association between traits. We simulated trait evolution under two models: one in which trait X changes during speciation and the lagging trait Y catches up as a function of time since speciation; and another in which trait X evolves in a random walk and the lagging trait Y is a function of X at a previous time period. Type I error rates under no lag were close to the expected level of 5%, indicating that the method is not prone to false-positives. Simulation results suggest that reasonable statistical power (80%) is reached with around 140 species pairs, although the degree of lag and trait associations had additional influences on power. We applied the method to two datasets and discuss how estimation of a branch length scaling parameter () can be used with SPELT to detect lag.","Times Cited in Web of Science Core Collection:  5     Total Times Cited:  5     Cited Reference Count:  41 | RAYYAN-INCLUSION: {""Coralie""=>""Included""}",10.1111/evo.12520     WE  - Science Citation Index Expanded (SCI-EXPANDED),Brownian motion;computer simulation;macroevolution;phylogeny;phylogenetic comparative methods;NICHE CONSERVATISM;BODY-SIZE;PHYLOGENETIC INERTIA;NATURAL-SELECTION;ADAPTATION;MODE;CHARACTERS;CONTRASTS;MAMMALS;BIOLOGY,,
rayyan-396602474,Genome-wide association studies using binned genotypes,2020,2,1,HEREDITY,"[""0018-067X"", ""1365-2540     J9  - HEREDITY     JI  - Heredity""]",124,2,288-298,"An, BX and Gao, X and Chang, TP and Xia, JW and Wang, XQ and Miao, J and Xu, LY and Zhang, LP and Chen, Y and Li, JY and Xu, SZ and Gao, HJ",,English,,"[""Chinese Acad Agr Sci, Inst Anim Sci, Beijing, Peoples R China"", ""Westlake Inst Adv Study, Inst Basic Med Sci, Hangzhou, Peoples R China"", ""Univ Calif Riverside, Dept Bot & Plant Sci, Riverside, CA 92521 USA     FU  - National Natural Science Foundations of China [31872975, 31472079, 31702084]; Cattle Breeding Innovative Research Team [cxgc-ias-03]     FX  - This work was supported by the National Natural Science Foundations of China (31872975, 31472079, and 31702084) and Cattle Breeding Innovative Research Team (cxgc-ias-03) Grants to HG and JL.     PU  - NATURE PUBLISHING GROUP     PI  - LONDON     PA  - MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND""]","Linear mixed models (LMM) that tests trait association one marker at a time have been the most popular methods for genome-wide association studies. However, this approach has potential pitfalls: over conservativeness after Bonferroni correction, ignorance of linkage disequilibrium (LD) between neighboring markers, and power reduction due to overfitting SNP effects. So, multiple locus models that can simultaneously estimate and test all markers in the genome are more appropriate. Based on the multiple locus models, we proposed a bin model that combines markers into bins based on their LD relationships. A bin is treated as a new synthetic marker and we detect the associations between bins and traits. Since the number of bins can be substantially smaller than the number of markers, a penalized multiple regression method can be adopted by fitting all bins to a single model. We developed an innovative method to bin the neighboring markers and used the least absolute shrinkage and selection operator (LASSO) method. We compared BIN-Lasso with SNP-Lasso and Q + K-LMM in a simulation experiment, and showed that the new method is more powerful with less Type I error than the other two methods. We also applied the bin model to a Chinese Simmental beef cattle population for bone weight association study. The new method identified more significant associations than the classical LMM. The bin model is a new dimension reduction technique that takes advantage of biological information (i.e., LD). The new method will be a significant breakthrough in associative genomics in the big data era.","Times Cited in Web of Science Core Collection:  2     Total Times Cited:  2     Cited Reference Count:  36 | RAYYAN-INCLUSION: {""Coralie""=>""Included""}",10.1038/s41437-019-0279-y     WE  - Science Citation Index Expanded (SCI-EXPANDED),VARIABLE SELECTION;RIDGE-REGRESSION;MODEL;REGULARIZATION;SHRINKAGE;FRAMEWORK;TRAITS;Genome;Genomics;Genotype,,
