key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-395284889,The influence of ultraviolet reflectance differs between conspicuous aposematic signals in neotropical butterflies and poison frogs,2021,10,,ECOLOGY AND EVOLUTION,2045-7758     J9  - ECOL EVOL     JI  - Ecol. Evol.,11,20,13633-13640,"Yeager, J and Barnett, JB",,English,,"[""Univ Amer, Biodiversidad Medio Ambiente & Salud, Quito, Ecuador"", ""McMaster Univ, Psychol Neurosci & Behav, Hamilton, ON, Canada""]",,Times Cited in Web of Science Core Collection:  1     Total Times Cited:  1     Cited Reference Count:  61,10.1002/ece3.7942,aposematism;butterflies;coloration;Dendrobatidae;sexual signals;UV reflection;visual modeling;HELICONIUS BUTTERFLIES;WARNING COLORATION;SEXUAL-DIMORPHISM;MATE CHOICE;SELECTION;PATTERN;TRANSMITTANCE;ASYMMETRY;LUMINANCE;EVOLUTION;Poisoning;Poisons,,
rayyan-395284897,Ice ages and butterflyfishes: Phylogenomics elucidates the ecological and evolutionary history of reef fishes in an endemism hotspot,2018,11,,ECOLOGY AND EVOLUTION,2045-7758     J9  - ECOL EVOL     JI  - Ecol. Evol.,8,22,10989-11008,"DiBattista, JD and Alfaro, ME and Sorenson, L and Choat, JH and Hobbs, JPA and Sinclair-Taylor, TH and Rocha, LA and Chang, J and Luiz, OJ and Cowman, PF and Friedman, M and Berumen, ML",,English,,"[""King Abdullah Univ Sci & Technol, Div Biol & Environm Sci & Engn, Red Sea Res Ctr, Thuwal, Saudi Arabia"", ""Australian Museum, Australian Museum Res Inst, Sydney, NSW, Australia"", ""Curtin Univ, Sch Mol & Life Sci, Perth, WA, Australia"", ""Univ Calif Los Angeles, Dept Ecol & Evolutionary Biol, Los Angeles, CA USA"", ""James Cook Univ, Coll Sci & Engn, Townsville, Qld, Australia"", ""Calif Acad Sci, Sect Ichthyol, San Francisco, CA 94118 USA"", ""Charles Darwin Univ, Res Inst Environm & Livelihoods, Darwin, NT, Australia"", ""James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Townsville, Qld, Australia"", ""Univ Oxford, Dept Earth Sci, Oxford, England"", ""Univ Michigan, Museum Paleontol, Ann Arbor, MI 48109 USA"", ""Univ Michigan, Dept Earth & Environm Sci, Ann Arbor, MI 48109 USA""]",,Times Cited in Web of Science Core Collection:  6     Total Times Cited:  6     Cited Reference Count:  92,10.1002/ece3.4566     WE  - Science Citation Index Expanded (SCI-EXPANDED),biogeographic barriers;Chaetodon;coral reef;glaciation events;Pleistocene;ultraconserved elements;SEA-LEVEL FLUCTUATIONS;COMPARATIVE PHYLOGEOGRAPHY;ULTRACONSERVED ELEMENTS;GLOBAL PATTERNS;PERSIAN-GULF;RED-SEA;BIOGEOGRAPHY;CHAETODONTIDAE;SELECTION;COMMUNITIES;Aged;Aging,,
rayyan-395284900,Caterpillars on a phytochemical landscape: The case of alfalfa and the Melissa blue butterfly,2020,5,,ECOLOGY AND EVOLUTION,2045-7758     J9  - ECOL EVOL     JI  - Ecol. Evol.,10,10,4362-4374,"Forister, ML and Yoon, SA and Philbin, CS and Dodson, CD and Hart, B and Harrison, JG and Shelef, O and Fordyce, JA and Marion, ZH and Nice, CC and Richards, LA and Buerkle, CA and Gompert, Z",,English,,"[""Univ Nevada, Dept Biol, Program Ecol Evolut & Conservat Biol, Reno, NV 89557 USA"", ""Univ Nevada, Hitchcock Ctr Chem Ecol, Reno, NV 89557 USA"", ""Univ Nevada, Dept Chem, Reno, NV 89557 USA"", ""Univ Nevada, Dept Biochem, Reno, NV 89557 USA"", ""Univ Wyoming, Dept Bot, Laramie, WY 82071 USA"", ""Univ Wyoming, Program Ecol, Laramie, WY 82071 USA"", ""Agr Res Org, Inst Plant Sci, Dept Nat Resources, Volcani Ctr, Rishon Leziyyon, Israel"", ""Univ Tennessee, Dept Ecol & Evolutionary Biol, Knoxville, TN USA"", ""Univ Canterbury, Sch Biol, Christchurch, New Zealand"", ""Texas State Univ, Dept Biol Populat & Conservat Biol, San Marcos, TX USA"", ""Utah State Univ, Dept Biol, Logan, UT 84322 USA""]",,Times Cited in Web of Science Core Collection:  3     Total Times Cited:  3     Cited Reference Count:  48,10.1002/ece3.6203,Lycaeides melissa;Medicago sativa;metabolomics;plant defense;specialization;DANAUS-PLEXIPPUS;PLANT TRAITS;COLONIZATION;METABOLOMICS;PREFERENCE;CHEMISTRY;EVOLUTION;ECOLOGY,,
rayyan-395284906,Monarch Butterfly Migration as an Integrative Model of Complex Trait Evolution*,2021,7,1,AMERICAN NATURALIST,"[""0003-0147"", ""1537-5323     J9  - AM NAT     JI  - Am. Nat.""]",198,1,142-157,"Green, DA",,English,,"Univ Michigan, Dept Ecol & Evolutionary Biol, Ann Arbor, MI 48109 USA",,Times Cited in Web of Science Core Collection:  3     Total Times Cited:  3     Cited Reference Count:  150,10.1086/714526,monarch butterfly;migration;adaptation;evolutionary lability;evo-devo;PLEXIPPUS L LEPIDOPTERA;DANAUS-P-PLEXIPPUS;QUANTITATIVE GENETICS;PHENOTYPIC PLASTICITY;CONVERGENT EVOLUTION;POPULATION DECLINES;NATURAL-POPULATIONS;SEASONAL MIGRATION;JUVENILE-HORMONE;ANIMAL MIGRATION,,
rayyan-395284928,Great chemistry between us: The link between plant chemical defenses and butterfly evolution,2021,7,,ECOLOGY AND EVOLUTION,2045-7758     J9  - ECOL EVOL     JI  - Ecol. Evol.,11,13,8595-8613,"van der Linden, CFH and WallisDeVries, MF and Simon, S",,English,,"[""Wageningen Univ & Res, Biosystemat Grp, Droevendaalsesteeg 1, NL-6708 PB Wageningen, Netherlands"", ""De Vlinderstichting Dutch Butterfly Conservat, Wageningen, Netherlands"", ""Wageningen Univ & Res, Plant Ecol & Nat Conservat Grp, Wageningen, Netherlands""]",,Times Cited in Web of Science Core Collection:  1     Total Times Cited:  1     Cited Reference Count:  97,10.1002/ece3.7673,butterfly assemblages;chemical defense;coevolution;ecological communities;macroevolution;plant&#8211;insect interaction;INSECT HERBIVORES;SECONDARY METABOLITES;ARMS-RACE;LEPIDOPTERA;DIVERSITY;SPECIALIST;DIVERSIFICATION;SEQUESTRATION;SPECIFICITY;GENERALIST,,
rayyan-395284932,The pollination of Habenaria rhodocheila (Orchidaceae) in South China: When butterflies take sides,2021,3,,ECOLOGY AND EVOLUTION,2045-7758     J9  - ECOL EVOL     JI  - Ecol. Evol.,11,6,2849-2861,"Chen, XH and Tan, SL and Liang, YL and Huang, L and Xiao, HW and Luo, HL and Xiong, DJ and Yang, BY and Ren, ZX",,English,,"[""Nanchang Univ, Sch Life Sci, Jiangxi Key Lab Plant Resources, Nanchang 330031, Jiangxi, Peoples R China"", ""Jiulianshan Natl Nat Reserve Adm Bur, Ganzhou, Peoples R China"", ""Chinese Acad Sci, Kunming Inst Bot, CAS Key Lab Plant Divers & Biogeog East Asia, Kunming 650201, Yunnan, Peoples R China""]",,Times Cited in Web of Science Core Collection:  6     Total Times Cited:  6     Cited Reference Count:  80,10.1002/ece3.7242,breeding system;butterflies;Habenaria;pollination efficiency;reproductive success;China,,
rayyan-395284935,UV bullseye contrast of Hemerocallis flowers attracts hawkmoths but not swallowtail butterflies,2019,1,,ECOLOGY AND EVOLUTION,2045-7758     J9  - ECOL EVOL     JI  - Ecol. Evol.,9,1,52-64,"Hirota, SK and Miki, N and Yasumoto, AA and Yahara, T",,English,,"[""Tohoku Univ, Grad Sch Agr Sci, Field Sci Ctr, Osaki, Japan"", ""Kyushu Univ, Grad Sch Syst Life Sci, Fukuoka, Fukuoka, Japan"", ""Univ Zurich, Dept Evolutionary Biol & Environm Studies, Zurich, Switzerland"", ""Kyushu Univ, Dept Biol, Fac Sci, Fukuoka, Fukuoka, Japan""]",,Times Cited in Web of Science Core Collection:  8     Total Times Cited:  9     Cited Reference Count:  64,10.1002/ece3.4604     WE  - Science Citation Index Expanded (SCI-EXPANDED),butterflies;color contrast;floral evolution;flower color;hawkmoths;pollinator behavior;UV bullseye floral pattern;COLOR-VISION;REPRODUCTIVE ISOLATION;MANDUCA-SEXTA;PREFERENCES;FULVA;DISCRIMINATION;INNATE;CUE;LEPIDOPTERA;CONSTRAINTS,,
rayyan-395284973,Vertical differentiation in tropical forest butterflies: a novel mechanism generating insect diversity?,2019,1,,BIOLOGY LETTERS,"[""1744-9561"", ""1744-957X     J9  - BIOL LETTERS     JI  - Biol. Lett.""]",15,1,,"Nice, CC and Fordyce, JA and Bell, KL and Forister, ML and Gompert, Z and DeVries, PJ",,English,,"[""Texas State Univ, Dept Biol, Populat & Conservat Biol Program, San Marcos, TX 78666 USA"", ""Univ Tennessee, Dept Ecol & Evolutionary Biol, Knoxville, TN 37996 USA"", ""Univ Nevada, Dept Biol, Program Ecol Evolut & Conservat Biol, Reno, NV 89557 USA"", ""Utah State Univ, Dept Biol, Logan, UT 84322 USA"", ""Univ New Orleans, Dept Biol, New Orleans, LA 70148 USA""]",,Times Cited in Web of Science Core Collection:  4     Total Times Cited:  4     Cited Reference Count:  21,10.1098/rsbl.2018.0723     WE  - Science Citation Index Expanded (SCI-EXPANDED),genomic differentiation;vertical stratification;butterfly diversity;tropical forests;FRUIT-FEEDING BUTTERFLIES;SPECIES-DIVERSITY;ECOLOGY,,
rayyan-395284980,Increased fluctuation in a butterfly metapopulation leads to diploid males and decline of a hyperparasitoid,2018,8,29,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"[""0962-8452"", ""1471-2945     J9  - P ROY SOC B-BIOL SCI     JI  - Proc. R. Soc. B-Biol. Sci.""]",285,1885,,"Nair, A and Nonaka, E and van Nouhuys, S",,English,,"[""Univ Helsinki, Metapopulat Res Ctr, Dept Biosci, POB 65, FIN-00014 Helsinki, Finland"", ""Stockholm Univ, Dept Ecol Environm & Plant Sci, S-11418 Stockholm, Sweden"", ""Cornell Univ, Dept Entomol, Ithaca, NY 14853 USA""]",,Times Cited in Web of Science Core Collection:  3     Total Times Cited:  3     Cited Reference Count:  66,10.1098/rspb.2018.0372     WE  - Science Citation Index Expanded (SCI-EXPANDED),bottleneck;climate change;complementary sex determination;host-parasitoid dynamics;diploid male vortex;extinction;COMPLEMENTARY SEX DETERMINATION;PARASITOID WASP;GENETIC DIVERSITY;ISLAND ISOLATION;HYMENOPTERA;EXTINCTION;DISPERSAL;CONSEQUENCES;POPULATIONS;ALLELES,,
rayyan-395284988,Environmental and genetic control of cold tolerance in the Glanville fritillary butterfly,2018,5,,JOURNAL OF EVOLUTIONARY BIOLOGY,"[""1010-061X"", ""1420-9101     J9  - J EVOLUTION BIOL     JI  - J. Evol. Biol.""]",31,5,636-645,"de Jong, MA and Saastamoinen, M",,English,,"[""Univ Bristol, Sch Biol Sci, Bristol, Avon, England"", ""Univ Helsinki, Organismal & Evolutionary Biol Res Programme, Helsinki, Finland""]",,Times Cited in Web of Science Core Collection:  12     Total Times Cited:  13     Cited Reference Count:  71,10.1111/jeb.13247     WE  - Science Citation Index Expanded (SCI-EXPANDED),candidate genes;chill coma recovery;developmental plasticity;flightin;genetics;insects;Lepidoptera;physiology;thermal acclimation;LIFE-HISTORY TRAITS;CHILL-COMA RECOVERY;DROSOPHILA-MELANOGASTER;PHENOTYPIC PLASTICITY;CLIMATE-CHANGE;BENEFICIAL ACCLIMATION;THERMAL TOLERANCE;MELITAEA-CINXIA;LARVAL DEVELOPMENT;STRESS RESISTANCE;Cold Temperature,,
