key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-395285338,"The community forestry enterprise in Monarch Butterfly Region, Mexico: a business approach",2019,,,BOSQUE,0717-9200     J9  - BOSQUE     JI  - Bosque,40,1,57-69,"Rodriguez-Zuniga, J and Gonzadez-Guillen, MD and Valtierra-Pacheco, E",,Spanish,,"[""Colegio Postgrad, Postgrad Ciencias Forestales, Carretera Mexico Texcoco Km 36,5, Texcoco 56230, Estado De Mexic, Mexico"", ""Colegio Postgrad, Postgrad Desarrollo Rural, Carretera Mexico Texcoco Km 36,5, Texcoco, Estado De Mexic, Mexico""]",,Times Cited in Web of Science Core Collection:  4     Total Times Cited:  4     Cited Reference Count:  27,10.4067/S0717-92002019000100057     WE  - Science Citation Index Expanded (SCI-EXPANDED),strategic analysis;production chain;forest community;corporative principles;social capital;Mexico,,
rayyan-395285025,Elevational clines in morphological traits of subtropical and tropical butterfly assemblages,2018,3,,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,"[""0024-4066"", ""1095-8312     J9  - BIOL J LINN SOC     JI  - Biol. J. Linnean Soc.""]",123,3,506-517,"Xing, S and Cheng, WD and Nakamura, A and Tang, CC and Pickett, EJ and Huang, SY and Odell, E and Goodale, E and Goodale, UM and Bonebrake, TC",,English,,"[""Univ Hong Kong, Sch Biol Sci, Hong Kong, Hong Kong, Peoples R China"", ""Chinese Acad Sci, Xishuangbanna Trop Bot Garden, Kunming, Yunnan, Peoples R China"", ""Griffith Univ, Griffith Sch Environm, Nathan, Qld 4111, Australia"", ""Griffith Univ, Environm Futures Res Inst, Nathan, Qld 4111, Australia"", ""Guangxi Univ, Coll Forestry, Guangxi Key Lab Forest Ecol & Conservat, Nanning 530004, Guangxi, Peoples R China"", ""Open Univ Hong Kong, Sch Sci & Technol, Kowloon, Hong Kong, Peoples R China""]",,Times Cited in Web of Science Core Collection:  13     Total Times Cited:  13     Cited Reference Count:  79,10.1093/biolinnean/blx159     WE  - Science Citation Index Expanded (SCI-EXPANDED),butterfly;body size;diversity;elevation;solar radiation;subtropical;temperature;thermal adaptation;thermal melanism;tropical;CLIMATE-CHANGE;BODY-SIZE;COLIAS BUTTERFLIES;COMMUNITY ECOLOGY;LEPIDOPTERA LYCAENIDAE;THERMAL MELANISM;SOLAR-RADIATION;BERGMANNS RULE;WING COLOR;EVOLUTION,,
rayyan-395285405,"BUTTERFLY COMMUNITY STRUCTURE AND DIVERSITY IN SANGIHE ISLANDS, NORTH SULAWESI, INDONESIA",2019,,,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,"[""1589-1623"", ""1785-0037     J9  - APPL ECOL ENV RES     JI  - Appl. Ecol. Environ. Res.""]",17,2,2501-2517,"Koneri, R and Nangoy, MJ",,English,,"[""Sam Ratulangi Univ, Dept Biol, Campus Sam Ratulangi Univ St, Manado 95115, North Sulawesi, Indonesia"", ""Sam Ratulangi Univ, Dept Anim Prod, Campus Sam Ratulangi Univ St, Manado 95115, North Sulawesi, Indonesia""]",,Times Cited in Web of Science Core Collection:  2     Total Times Cited:  3     Cited Reference Count:  67,10.15666/aeer/1702_25012517     WE  - Science Citation Index Expanded (SCI-EXPANDED),forest edge;sweep net;Junonia hedonia;Nymphalidae;host plant;SPECIES RICHNESS;LEPIDOPTERA;FOREST;UNIVERSITY;CHECKLIST;ABUNDANCE;IMPACTS;RESERVE;PARK;Butterflies,,
rayyan-395285458,A micronucleus assay detects genotoxic effects of herbicide exposure in a protected butterfly species,2020,11,,ECOTOXICOLOGY,"[""0963-9292"", ""1573-3017     J9  - ECOTOXICOLOGY     JI  - Ecotoxicology""]",29,9,1390-1398,"Santovito, A and Audisio, M and Bonelli, S",,English,,"Univ Turin, Dept Life Sci & Syst Biol, Via Accademia Albertina 13, I-10123 Turin, Italy",,Times Cited in Web of Science Core Collection:  1     Total Times Cited:  2     Cited Reference Count:  80,10.1007/s10646-020-02276-3,Pesticides;Roundup;Genomic damage;Lepidoptera;Habitats directive;GLYPHOSATE-BASED HERBICIDES;GRASS MANAGEMENT INTENSITY;PESTICIDE EXPOSURE;COMET ASSAY;RISK;ROUNDUP(R);SUBLETHAL;TOXICITY;GROWTH;DELTAMETHRIN;Micronucleus Tests,,
rayyan-395285211,"The role of protected areas in the conservation of species diversity of butterflies (Lepidoptera, Papilionidea) in the Komi Republic",2021,,,THEORETICAL AND APPLIED ECOLOGY,"[""1995-4301"", ""2618-8406     J9  - THEOR APPL ECOL     JI  - Theor. Appl. Ecol.""]",,3,160-167,"Tatarinov, AG and Kulakova, OI",,Russian,,"Russian Acad Sci, Komi Sci Ctr, Inst Biol, Ural Branch, 28 Kommunisticheskaya St, Syktyvkar 167982, Russia",,Times Cited in Web of Science Core Collection:  0     Total Times Cited:  0     Cited Reference Count:  9,10.25750/1995-4301-2021-3-160-167     WE  - Emerging Sources Citation Index (ESCI),Butterflies;protected natural areas;Red Data Book;Komi Republic,,
rayyan-395284911,Phylogeography and population genetics of pine butterflies: Sky islands increase genetic divergence,2019,12,,ECOLOGY AND EVOLUTION,2045-7758     J9  - ECOL EVOL     JI  - Ecol. Evol.,9,23,13389-13401,"Halbritter, DA and Storer, CG and Kawahara, AY and Daniels, JC",,English,,"[""Univ Florida, Entomol & Nematol Dept, Steinmetz Hall,1881 Nat Area Dr, Gainesville, FL 32611 USA"", ""Univ Florida, McGuire Ctr Lepidoptera & Biodivers, Florida Museum Nat Hist, Gainesville, FL 32611 USA""]",,Times Cited in Web of Science Core Collection:  5     Total Times Cited:  5     Cited Reference Count:  55,10.1002/ece3.5793,ddRADSeq;Neophasia;phylogeny;Pieridae;Pinus;population;MAXIMUM-LIKELIHOOD;R-PACKAGE;DIFFERENTIATION;ECOLOGY;HISTORY;Phylogeography,,
rayyan-395285279,Multimodal Signaling in Myrmecophilous Butterflies,2019,11,29,FRONTIERS IN ECOLOGY AND EVOLUTION,2296-701X     J9  - FRONT ECOL EVOL     JI  - Front. Ecol. Evol.,7,,,"Casacci, LP and Bonelli, S and Balletto, E and Barbero, F",,English,,"[""Turin Univ, Dept Life Sci & Syst Biol, Zoolab, Turin, Italy"", ""Polish Acad Sci, Museum & Inst Zool, Warsaw, Poland""]",,Times Cited in Web of Science Core Collection:  14     Total Times Cited:  14     Cited Reference Count:  153,10.3389/fevo.2019.00454     WE  - Science Citation Index Expanded (SCI-EXPANDED),ants;chemical cues;eavesdropping;manipulation;mimicry;oviposition;vibroacoustic signals;HOST-PLANT-SELECTION;MACULINEA-REBELI;LARGE-BLUE;LYCAENID BUTTERFLIES;SOCIAL PARASITES;ANTS HYMENOPTERA;CATERPILLARS LEPIDOPTERA;ACOUSTIC COMMUNICATION;ECOLOGICAL CHARACTERS;OVIPOSITION BEHAVIOR,,
rayyan-395285540,A comprehensive assessment of diversity loss in a well-documented tropical insect fauna: Almost half of Singapore's butterfly species extirpated in 160 years,2020,2,,BIOLOGICAL CONSERVATION,"[""0006-3207"", ""1873-2917     J9  - BIOL CONSERV     JI  - Biol. Conserv.""]",242,,,"Theng, M and Jusoh, WFA and Jain, A and Huertas, B and Tan, DJX and Tan, HZ and Kristensen, NP and Meier, R and Chisholm, RA",,English,,"[""Natl Univ Singapore, Dept Biol Sci, 14 Sci Dr 4, Singapore 117558, Singapore"", ""Lee Kong Chian Nat Hist Museum, 2 Conservatory Dr, Singapore 117377, Singapore"", ""BirdLife Int Asia, 354 Tanglin Rd,01-16-17, Singapore 247672, Singapore"", ""Nat Hist Museum, Cromwell Rd, London SW7 5BD, England""]",,Times Cited in Web of Science Core Collection:  16     Total Times Cited:  16     Cited Reference Count:  49,10.1016/j.biocon.2019.108401     WE  - Science Citation Index Expanded (SCI-EXPANDED),Butterflies;Extirpations;Extinction debt;Southeast Asia;TURNOVER RATES;EXTINCTION;ABUNDANCE;PLANTS;DECLINES;Singapore,,
rayyan-395285248,Microclimatic variability buffers butterfly populations against increased mortality caused by phenological asynchrony between larvae and their host plants,2021,5,,OIKOS,"[""0030-1299"", ""1600-0706     J9  - OIKOS     JI  - Oikos""]",130,5,753-765,"Rytteri, S and Kuussaari, M and Saastamoinen, M",,English,,"[""Univ Helsinki, Fac Biol & Environm Sci, Res Ctr Ecol Change, Helsinki, Finland"", ""Finnish Environm Inst SYKE, Biodivers Ctr, Helsinki, Finland"", ""Univ Helsinki, Helsinki Inst Life Sci, Helsinki, Finland""]",,Times Cited in Web of Science Core Collection:  7     Total Times Cited:  8     Cited Reference Count:  59,10.1111/oik.07653,heterogeneous microhabitat;Melitaea cinxia;optimal body temperature;oviposition site choice;phenology mismatch;plant&#8211;herbivore interaction;weather,,
rayyan-395285170,Abiotic and biotic predictors of macroecological patterns in bird and butterfly coloration,2018,5,,ECOLOGICAL MONOGRAPHS,"[""0012-9615"", ""1557-7015     J9  - ECOL MONOGR     JI  - Ecol. Monogr.""]",88,2,204-224,"Dalrymple, RL and Flores-Moreno, H and Kemp, DJ and White, TE and Laffan, SW and Hemmings, FA and Hitchcock, TD and Moles, AT",,English,,"[""UNSW Sydney, Sch Biol Earth & Environm Sci, Evolut & Ecol Res Ctr, Sydney, NSW 2052, Australia"", ""Univ Minnesota, Dept Ecol Evolut & Behav, St Paul, MN 55108 USA"", ""Univ Minnesota, Dept Forest Resources, St Paul, MN 55108 USA"", ""Macquarie Univ, Fac Sci & Engn, Dept Biol Sci, Sydney, NSW 2109, Australia"", ""UNSW Sydney, Sch Biol Earth & Environm Sci, Ctr Ecosyst Sci, Sydney, NSW 2052, Australia"", ""UNSW Sydney, Sch Biol Earth & Environm, John T Waterhouse Herbarium, Sydney, NSW 2052, Australia""]",,Times Cited in Web of Science Core Collection:  22     Total Times Cited:  22     Cited Reference Count:  90,10.1002/ecm.1287     WE  - Science Citation Index Expanded (SCI-EXPANDED),abiotic environment;bird;butterfly;color;community diversity;ecological gradients;traits;CONDITION-DEPENDENCE;PLUMAGE COLOR;AMBIENT LIGHT;CHARACTER DISPLACEMENT;ADAPTIVE SIGNIFICANCE;GLOGERS RULE;BRIGHT BIRDS;EVOLUTION;THERMOREGULATION;ENVIRONMENT;Color,,
