key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-395284897,Ice ages and butterflyfishes: Phylogenomics elucidates the ecological and evolutionary history of reef fishes in an endemism hotspot,2018,11,,ECOLOGY AND EVOLUTION,2045-7758     J9  - ECOL EVOL     JI  - Ecol. Evol.,8,22,10989-11008,"DiBattista, JD and Alfaro, ME and Sorenson, L and Choat, JH and Hobbs, JPA and Sinclair-Taylor, TH and Rocha, LA and Chang, J and Luiz, OJ and Cowman, PF and Friedman, M and Berumen, ML",,English,,"[""King Abdullah Univ Sci & Technol, Div Biol & Environm Sci & Engn, Red Sea Res Ctr, Thuwal, Saudi Arabia"", ""Australian Museum, Australian Museum Res Inst, Sydney, NSW, Australia"", ""Curtin Univ, Sch Mol & Life Sci, Perth, WA, Australia"", ""Univ Calif Los Angeles, Dept Ecol & Evolutionary Biol, Los Angeles, CA USA"", ""James Cook Univ, Coll Sci & Engn, Townsville, Qld, Australia"", ""Calif Acad Sci, Sect Ichthyol, San Francisco, CA 94118 USA"", ""Charles Darwin Univ, Res Inst Environm & Livelihoods, Darwin, NT, Australia"", ""James Cook Univ, ARC Ctr Excellence Coral Reef Studies, Townsville, Qld, Australia"", ""Univ Oxford, Dept Earth Sci, Oxford, England"", ""Univ Michigan, Museum Paleontol, Ann Arbor, MI 48109 USA"", ""Univ Michigan, Dept Earth & Environm Sci, Ann Arbor, MI 48109 USA""]",,Times Cited in Web of Science Core Collection:  6     Total Times Cited:  6     Cited Reference Count:  92,10.1002/ece3.4566     WE  - Science Citation Index Expanded (SCI-EXPANDED),biogeographic barriers;Chaetodon;coral reef;glaciation events;Pleistocene;ultraconserved elements;SEA-LEVEL FLUCTUATIONS;COMPARATIVE PHYLOGEOGRAPHY;ULTRACONSERVED ELEMENTS;GLOBAL PATTERNS;PERSIAN-GULF;RED-SEA;BIOGEOGRAPHY;CHAETODONTIDAE;SELECTION;COMMUNITIES;Aged;Aging,,
rayyan-395284909,The influence of ecological and life history factors on ectothermic temperature-size responses: Analysis of three Lycaenidae butterflies (Lepidoptera),2019,9,,ECOLOGY AND EVOLUTION,2045-7758     J9  - ECOL EVOL     JI  - Ecol. Evol.,9,18,10305-10316,"Wilson, RJ and Brooks, SJ and Fenberg, PB",,English,,"[""Univ Southampton, Ocean & Earth Sci, Natl Oceanog Ctr Southampton, Waterfront Campus, Southampton SO14 3ZH, Hants, England"", ""Nat Hist Museum, Dept Life Sci, London, England""]",,Times Cited in Web of Science Core Collection:  10     Total Times Cited:  10     Cited Reference Count:  47,10.1002/ece3.5550,body size;ectotherm;Lepidoptera;museum collections;temperature;voltinism;PLEBEJUS-ARGUS L;BODY-SIZE;CLIMATE-CHANGE;CONSERVATION;DIMORPHISM;CLINES;TIME;Temperature,,
rayyan-395284974,Museum genomics reveals the Xerces blue butterfly (Glaucopsyche xerces) was a distinct species driven to extinction,2021,7,21,BIOLOGY LETTERS,"[""1744-9561"", ""1744-957X     J9  - BIOL LETTERS     JI  - Biol. Lett.""]",17,7,,"Grewe, F and Kronforst, MR and Pierce, NE and Moreau, CS",,English,,"[""Field Museum Nat Hist, Grainger Bioinformat Ctr, Chicago, IL 60605 USA"", ""Univ Chicago, Dept Ecol & Evolut, Chicago, IL 60637 USA"", ""Harvard Univ, Dept Organism & Evolutionary Biol, Cambridge, MA 02138 USA"", ""Cornell Univ, Dept Entomol, Ithaca, NY 14853 USA"", ""Cornell Univ, Dept Ecol & Evolutionary Biol, Ithaca, NY 14853 USA""]",,Times Cited in Web of Science Core Collection:  4     Total Times Cited:  4     Cited Reference Count:  16,10.1098/rsbl.2021.0123     WE  - Science Citation Index Expanded (SCI-EXPANDED),Lepidoptera;Lycaenidae;conservation;extinction;museomics;ancient DNA sequencing;Genome;Genomics;Museums,,
rayyan-395285001,Transgenerational inheritance of learned preferences for novel host plant odors in Bicyclus anynana butterflies,2019,12,,EVOLUTION,"[""0014-3820"", ""1558-5646     J9  - EVOLUTION     JI  - Evolution""]",73,12,2401-2414,"Gowri, V and Dion, E and Viswanath, A and Piel, FM and Monteiro, A",,English,,"[""Natl Univ Singapore, Dept Biol Sci, 14 Sci Dr 4, Singapore 117543, Singapore"", ""Yale NUS Coll, 6 Coll Ave East, Singapore 138614, Singapore""]",,Times Cited in Web of Science Core Collection:  9     Total Times Cited:  9     Cited Reference Count:  60,10.1111/evo.13861,Bicyclus anynana;odor learning;oviposition choice;intergenerational inheritance;BEHAVIORAL-RESPONSES;PREY PREFERENCE;EXPERIENCE;CHOICE;EVOLUTION;EXPOSURE,,
rayyan-395285062,A mirage of cryptic species: Genomics uncover striking mitonuclear discordance in the butterfly Thymelicus sylvestris,2019,9,,MOLECULAR ECOLOGY,"[""0962-1083"", ""1365-294X     J9  - MOL ECOL     JI  - Mol. Ecol.""]",28,17,3857-3868,"Hinojosa, JC and Koubinova, D and Szenteczki, MA and Pitteloud, C and Dinca, V and Alvarez, N and Vila, R",,English,,"[""UPF, CSIC, Inst Biol Evolut, Barcelona, Spain"", ""Museum Nat Hist, Unit Res & Collect, Geneva, Switzerland"", ""Univ Neuchatel, Inst Biol, Lab Funct Ecol, Neuchatel, Switzerland"", ""ETHZ, Inst Terr Ecosyst, Dept Environm Syst Sci, Zurich, Switzerland"", ""Univ Oulu, Dept Ecol & Genet, Oulu, Finland""]",,Times Cited in Web of Science Core Collection:  44     Total Times Cited:  44     Cited Reference Count:  58,10.1111/mec.15153,despeciation;genomics;Lepidoptera;lineage fusion;mitochondrial DNA;RAD sequencing;MITOCHONDRIAL-DNA;LOCAL ADAPTATION;POPULATION;DIVERSITY;METAPOPULATION;LEPIDOPTERA;MIGRATION;INFERENCE;PROGRAM;POINTS;Genome;Genomics,,
rayyan-395285078,Contrasting genomic and phenotypic outcomes of hybridization between pairs of mimetic butterfly taxa across a suture zone,2020,4,,MOLECULAR ECOLOGY,"[""0962-1083"", ""1365-294X     J9  - MOL ECOL     JI  - Mol. Ecol.""]",29,7,1328-1343,"Gauthier, J and de Silva, DL and Gompert, Z and Whibley, A and Houssin, C and Le Poul, Y and McClure, M and Lemaitre, C and Legeai, F and Mallet, J and Elias, M",,English,,"[""Univ Rennes, CNRS, INRIA, IRISA, Rennes, France"", ""Geneva Nat Hist Museum, Geneva, Switzerland"", ""Univ Antilles, Sorbonne Univ, EPHE, Inst Systemat,Evolut,Biodiversite,CNRS,MNHN, Paris, France"", ""Utah State Univ, Dept Biol, Logan, UT 84322 USA"", ""Univ Auckland, Sch Biol Sci, Auckland, New Zealand"", ""Ludwig Maximilians Univ Munchen, Biozentrum, Fak Biol, Planegg Martinsried, Germany"", ""Harvard Univ, Dept Organism & Evolutionary Biol, Cambridge, MA 02138 USA""]",,Times Cited in Web of Science Core Collection:  4     Total Times Cited:  4     Cited Reference Count:  97,10.1111/mec.15403,admixture mapping;differentiation;hybridization;introgression;Ithomiini;mimicry;HYBRID ZONES;GENE FLOW;REPRODUCTIVE ISOLATION;BAYESIAN-ESTIMATION;MATE PREFERENCE;SPECIATION;SELECTION;EVOLUTION;ARCHITECTURE;REVEALS;Phenotype;Genome;Genomics,,
rayyan-395285112,Species limits in butterflies (Lepidoptera: Nymphalidae): reconciling classical taxonomy with the multispecies coalescent,2019,10,,SYSTEMATIC ENTOMOLOGY,"[""0307-6970"", ""1365-3113     J9  - SYST ENTOMOL     JI  - Syst. Entomol.""]",44,4,745-756,"Matos-Maravi, P and Wahlberg, N and Antonelli, A and Penz, CM",,English,,"[""Univ Gothenburg, Dept Biol & Environm Sci, Carl Skottsbergs Gata 22B, SE-41319 Gothenburg, Sweden"", ""Gothenburg Global Biodivers Ctr, Gothenburg, Sweden"", ""Biol Ctr CAS, Inst Entomol, Ceske Budejovice, Czech Republic"", ""Lund Univ, Dept Biol, Lund, Sweden"", ""Royal Bot Gardens Kew, Richmond, Surrey, England"", ""Univ New Orleans, Dept Biol Sci, New Orleans, LA 70148 USA""]",,Times Cited in Web of Science Core Collection:  19     Total Times Cited:  18     Cited Reference Count:  60,10.1111/syen.12352     WE  - Science Citation Index Expanded (SCI-EXPANDED),DELIMITATION;DIVERSITY;DISCOVERY;INFERENCE;INSIGHTS;MODEL,,
rayyan-395285127,Diel behavior in moths and butterflies: a synthesis of data illuminates the evolution of temporal activity,2018,3,,ORGANISMS DIVERSITY & EVOLUTION,"[""1439-6092"", ""1618-1077     J9  - ORG DIVERS EVOL     JI  - Org. Divers. Evol.""]",18,1,13-27,"Kawahara, AY and Plotkin, D and Hamilton, CA and Gough, H and St Laurent, R and Owens, HL and Homziak, NT and Barber, JR",,English,,"[""Univ Florida, Florida Museum Nat Hist, Gainesville, FL 32611 USA"", ""Univ Florida, Dept Entomol & Nematol, Gainesville, FL 32611 USA"", ""Univ Florida, Dept Biol, Gainesville, FL 32611 USA"", ""Boise State Univ, Dept Biol Sci, Boise, ID 83725 USA""]",,Times Cited in Web of Science Core Collection:  16     Total Times Cited:  16     Cited Reference Count:  186,10.1007/s13127-017-0350-6     WE  - Science Citation Index Expanded (SCI-EXPANDED),Crepuscular;Day-flying;Diurnal;Flight time;Lepidoptera;Night-flying;Nocturnal;HIGHER-LEVEL CLASSIFICATION;ULTRASOUND PRODUCTION;MOLECULAR PHYLOGENY;DEFENSIVE BEHAVIOR;TRAIT EVOLUTION;FLIGHT ACTIVITY;DIURNAL MOTHS;TIGER MOTH;LEPIDOPTERA;FAMILY,,
rayyan-395285182,Differentiation of the Chestnut Tiger Butterfly Parantica sita (Lepidoptera: Nymphalidae: Danainae) in China,2022,3,14,FRONTIERS IN ECOLOGY AND EVOLUTION,2296-701X     J9  - FRONT ECOL EVOL     JI  - Front. Ecol. Evol.,10,,,"Hu, P and Lu, LZ and Hu, SJ and Da, W and Huang, CL and Zhang, HH and Wang, D and Zhang, YF and Xu, YQ and Wang, RJ",,English,,"[""Peking Univ, Sch Life Sci, Beijing, Peoples R China"", ""Chinese Acad Sci, Kunming Inst Zool, Kunming, Yunnan, Peoples R China"", ""Yunnan Univ, Yunnan Key Lab Int Rivers & Transboundary Ecosecu, Kunming, Yunnan, Peoples R China"", ""Yunnan Univ, Inst Int Rivers & Ecosecur, Kunming, Yunnan, Peoples R China"", ""Tibet Plateau Inst Biol, Lhasa, Peoples R China"", ""Minjiang Univ, Inst Oceanog, Fuzhou, Peoples R China"", ""Yunnan Univ, Sch Agr, Kunming, Yunnan, Peoples R China"", ""Peking Univ, Inst Ecol, Beijing, Peoples R China""]",,Times Cited in Web of Science Core Collection:  0     Total Times Cited:  0     Cited Reference Count:  52,10.3389/fevo.2022.846499     WE  - Science Citation Index Expanded (SCI-EXPANDED),male genitalia;speciation;biogeography;COI sequence;microsatellite;genetic differentiation;ARC-CONTINENT COLLISION;POPULATION-STRUCTURE;COMPUTER-PROGRAM;TIBETAN PLATEAU;UPLIFT;PHYLOGEOGRAPHY;EVOLUTION;China,,
rayyan-395285231,Physiology Drives Reworking of Amino Acid delta H-2 and delta C-13 in Butterfly Tissues,2021,10,11,FRONTIERS IN ECOLOGY AND EVOLUTION,2296-701X     J9  - FRONT ECOL EVOL     JI  - Front. Ecol. Evol.,9,,,"Morra, KE and Newsome, SD and Graves, GR and Fogel, ML",,English,,"[""Univ Calif Riverside, EDGE Inst, Dept Earth & Planetary Sci, Riverside, CA 92521 USA"", ""Univ New Mexico, Dept Biol, Albuquerque, NM 87131 USA"", ""Smithsonian Inst, Natl Museum Nat Hist, Dept Vertebrate Zool, Washington, DC 20560 USA"", ""Univ Copenhagen, Globe Inst, Ctr Macroecol Evolut & Climate, Copenhagen, Denmark""]",,Times Cited in Web of Science Core Collection:  1     Total Times Cited:  1     Cited Reference Count:  69,10.3389/fevo.2021.729258     WE  - Science Citation Index Expanded (SCI-EXPANDED),amino acid;hydrogen;carbon;stable isotope analysis;metamorphosis;butterfly;individual variation;physiology;STABLE-HYDROGEN;BATTUS-PHILENOR;DIETARY SOURCES;FOOD WEBS;ISOTOPES;CARBON;ORIGINS;ABUNDANCE;PLANT;WATER,,
